Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
B228;Mn;72;72;70;68;69;69;68;70;71;73;73;73;71
B228;Md;73;71;70;68;69;68;68;70;72;73;73;73;71
B228;S;5.22;5.36;4.96;4.75;3.72;5.22;3.11;4.20;4.37;3.51;3.23;4.67;2.30
B228;Cv;0.07;0.08;0.07;0.07;0.05;0.08;0.05;0.06;0.06;0.05;0.04;0.06;0.03
B278;N;28;28;29;27;26;26;28;26;29;25;27;29;16
B278;Min;73;70;69;61;58;55;56;59;64;70;71;67;69
B278;Q1;76;73;71;66;63;58;59;62;68;73;75;77;70
B278;Q2;78;77;75;69;67;61;61;64;70;75;78;79;72
B278;Q3;79;79;76;73;68;64;63;68;72;78;80;80;73
B278;Q4;82;80;78;75;70;68;66;70;74;79;82;82;74
B278;Max;87;84;80;82;74;71;70;73;79;86;88;86;75
B278;Mn;78;79;75;72;68;62;62;66;71;77;79;80;73
B278;Md;79;77;75;71;67;63;62;66;71;77;79;79;72
B278;S;3.24;3.96;3.24;4.73;3.79;4.66;3.84;3.93;3.78;3.86;3.92;3.99;1.98
B278;Cv;0.04;0.05;0.04;0.07;0.06;0.07;0.06;0.06;0.05;0.05;0.05;0.05;0.03
0200E;N;26;27;27;27;27;28;28;27;27;28;26;26;23
0200E;Min;54;60;54;57;60;59;57;57;67;67;58;61;65
0200E;Q1;64;64;65;63;64;61;63;65;70;71;66;63;66
0200E;Q2;68;66;68;67;68;64;64;69;73;73;71;67;69
0200E;Q3;72;70;70;70;70;68;66;71;76;76;73;70;70
0200E;Q4;76;74;74;73;72;71;71;74;77;79;76;75;73
0200E;Max;79;79;81;80;79;83;79;85;88;82;84;77;78
0200E;Mn;70;69;69;69;68;66;65;70;75;75;72;69;69
0200E;Md;69;69;69;68;68;67;66;70;75;75;72;69;70
0200E;S;6.44;5.41;5.87;5.49;4.65;6.24;5.01;5.97;4.73;4.34;5.93;5.18;3.74
0200E;Cv;0.09;0.08;0.08;0.08;0.07;0.09;0.08;0.09;0.06;0.06;0.08;0.08;0.05
0076;N;27;25;25;27;26;25;27;26;24;26;25;26;18
0076;Min;61;58;54;60;58;58;60;59;60;63;56;58;61
0076;Q1;65;63;65;65;65;64;63;61;68;70;65;64;68
0076;Q2;68;68;69;68;70;67;66;68;69;72;71;70;70
0076;Q3;71;72;71;70;72;71;68;71;72;74;75;71;71
0076;Q4;75;74;74;74;74;72;70;72;74;76;77;75;73
0076;Max;82;80;78;79;79;77;75;77;77;81;78;80;74
0076;Mn;69;71;71;69;71;69;67;70;72;74;74;71;71
0076;Md;70;69;70;69;70;69;67;68;70;73;71;70;70
0076;S;5.33;5.67;5.60;4.91;4.89;4.78;3.98;5.23;4.34;4.32;6.34;5.44;3.51
0076;Cv;0.08;0.08;0.08;0.07;0.07;0.07;0.06;0.08;0.06;0.06;0.09;0.08;0.05
