Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
9381I;6.9;5.9;6.2;9.5;13.7;19.4;23.0;22.9;19.1;14.7;7.4;5.2;12.8
8368U;6.8;6.0;7.0;10.4;14.4;20.4;24.2;23.5;19.6;15.2;8.0;5.7;13.4
3260B;9.4;9.2;10.2;13.4;16.9;24.2;28.9;28.2;23.8;18.0;10.9;;
8416;14.5;14.7;15.0;17.1;19.1;22.9;25.8;25.9;24.3;21.1;15.5;13.2;19.1
8414A;12.4;12.7;13.2;16.0;18.3;22.7;25.7;25.5;23.5;20.0;13.8;11.4;17.9
2422;6.3;6.0;6.7;9.6;13.9;19.8;23.7;23.3;19.8;14.7;7.3;5.0;13.0
2539;5.6;5.1;5.5;8.2;12.0;17.7;21.8;21.5;18.0;13.5;6.4;4.2;11.6
2614;7.3;6.9;7.9;10.6;14.9;20.7;24.8;24.1;20.4;15.2;8.1;4.8;13.8
9390;7.2;6.6;6.8;10.2;14.3;20.0;23.4;23.6;19.9;14.9;7.7;5.0;13.3
9434;9.7;9.6;10.7;14.2;18.2;23.8;26.7;26.4;23.5;16.9;10.4;6.3;16.4
