Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
6000A;25/76(05);;;26/80(05);;;;;;;27/67(07);;
7178I;34/54(16);27/81(14);30/72(10);;30/63(13);30/48(15);06/47(03);06/45(05);05/51(28);30/45(13);32/62(08);05/63(17);
7228;;;;07/69(30);;17/58(11);;;;;11/59(14);10/63(17);
9263D;36/59(15);;32/76(09);;99/84(28);34/59(23);;;;;;36/46(19);
1690A;;27/53(14);28/47(04);24/59(10);17/47(07);28/39(13);31/30(10);99/35(04);17/36(06);28/49(22);20/53(20);17/41(09);
1484C;14/72(01);27/75(14);18/60(26);17/53(14);12/44(08);01/45(26);34/42(27);02/57(09);26/39(12);12/37(23);12/55(24);12/42(13);27/75(14/feb)
1495;;;;;99/52(07);;;;;;;;
2867;;26/87(10);26/72(04);22/78(14);;99/63(15);;07/50(09);31/59(13);;20/65(21);09/45(17);
2870;20/77(10);23/66(10);24/59(04);;17/50(08);99/47(15);;06/44(09);;18/51(23);22/62(21);20/32(15);
C929I;;02/89(19);;;;;;35/65(14);03/58(01);31/61(13);03/71(12);;
C430E;11/89(31);;31/124(30);33/100(06);32/96(10);31/88(27);32/67(14);12/92(09);31/68(14);31/96(24);32/93(25);30/129(03);
C139E;;03/98(19);03/82(23);04/71(06);22/63(10);;;;03/55(15);04/58(05);;31/91(03);
C449C;;;35/50(22);34/68(06);;26/53(14);02/59(07);30/54(14);04/44(01);30/51(23);;;
C447A;13/48(31);30/84(18);;29/78(06);99/71(17);;;29/63(01);;;99/71(22);;
C429I;06/76(30);06/89(15);;;25/71(08);;;05/84(11);;07/54(10);;;
2465;24/89(11);26/84(06);25/66(04);21/73(10);15/72(08);23/70(24);25/75(05);19/55(23);19/53(13);17/64(23);13/67(30);12/66(03);24/89(11/ene)
5796;;33/76(14);;;;;28/46(19);26/58(05);26/49(13);21/53(23);23/54(05);;
5783;23/65(11);;99/58(07);22/63(16);;25/52(04);;;22/50(13);18/46(22);;;
2030;28/69(07);25/74(09);;;29/62(28);28/77(24);29/62(20);32/48(15);28/51(13);21/42(23);36/55(14);99/37(19);
0016A;99/76(14);29/95(09);29/105(02);99/67(24);32/65(01);;;29/58(05);;;99/78(10);28/48(20);
9981A;30/90(15);29/87(09);29/103(02);30/94(08);30/80(23);30/77(13);32/57(13);30/57(10);29/65(14);12/37(03);32/74(09);;
9381I;27/65(04);26/74(09);;25/57(10);;26/49(15);15/73(11);03/67(15);;17/38(23);24/53(05);07/48(17);
8368U;;;;;26/59(28);26/84(24);18/51(30);;18/67(13);99/35(21);22/49(05);34/32(20);
3260B;26/90(11);31/92(14);29/65(04);;28/78(28);26/65(14);19/76(20);36/48(09);21/51(13);29/47(06);26/63(20);;
8414A;26/95(04);30/89(14);29/74(31);;29/82(28);28/72(15);;;26/71(13);;23/71(05);03/61(19);
2422;27/64(10);27/78(10);;26/63(16);28/53(29);;10/56(04);05/49(09);;29/38(23);27/54(21);10/34(17);
2614;;;;25/51(10);26/43(05);;02/42(12);;29/45(13);;;16/38(04);
9390;;22/86(09);24/68(31);24/51(16);27/69(22);24/52(16);01/54(04);03/59(15);24/74(13);08/36(03);24/46(09);08/42(17);
9434;;30/100(29);29/82(23);31/78(07);;;30/71(14);30/74(09);;;;31/52(20);
