Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
9898;16.5(24);18.7(01);22.4(30);23.8(15);30.2(27);35.9(24);39.7(30);37.5(03);35.6(05);29.1(04);18.5(01);16.0(05);39.7(30/jul)
5270B;19.4(23);19.6(01);25.7(30);24.2(18);30.3(21);37.3(09);39.7(18);37.9(02);41.2(06);;24.7(02);17.9(09);
9170;17.3(08);19.5(13);24.7(30);23.4(15);30.7(21);36.3(23);38.4(19);36.9(03);37.2(06);28.9(04);24.2(02);16.8(12);38.4(19/jul)
C249I;24.1(05);23.5(14);23.5(19);27.0(18);31.1(12);30.7(20);;32.3(08);29.9(06);30.4(28);26.5(04);28.3(02);
C649I;28.1(15);23.7(14);24.8(23);24.7(15);;;;;;30.2(17);26.7(04);;
C029O;26.8(15);;25.5(02);26.5(27);27.9(28);36.8(23);;38.9(10);;;27.0(01);24.4(14);
2661;14.4(24);13.0(20);16.2(24);20.2(26);23.2(04);31.6(22);34.0(18);33.8(23);34.0(06);24.2(29);20.0(16);15.8(29);34.0(18/jul)
1549;19.8(24);17.8(21);20.1(24);22.6(25);29.6(20);35.0(22);37.6(18);38.9(07);38.7(06);26.6(03);20.3(02);16.7(05);38.9(07/ago)
9771C;19.5(08);21.5(13);26.3(30);26.1(15);30.2(28);36.2(24);40.3(10);38.8(03);37.2(05);29.8(04);18.8(23);17.3(05);40.3(10/jul)
1505;20.3(24);17.0(21);18.0(24);20.6(20);29.4(04);30.6(08);38.4(18);36.0(22);37.6(06);26.0(30);19.6(02);18.2(11);38.4(18/jul)
3191E;15.4(24);14.6(10);17.9(30);18.6(26);23.9(20);32.4(28);35.0(28);34.5(03);36.5(06);25.6(06);19.0(02);17.0(26);36.5(06/sep)
3129;19.5(24);17.7(01);22.4(30);22.5(26);28.3(20);;38.7(19);38.0(03);39.5(06);29.0(06);21.7(02);17.0(27);
3196;17.9(24);16.6(01);21.6(30);21.5(26);28.6(21);36.4(28);39.0(10);38.0(03);39.5(06);29.4(06);21.8(02);16.6(26);39.5(06/sep)
3200;19.2(24);16.8(01);22.5(30);22.3(26);29.0(21);36.4(09);38.6(10);37.8(03);39.6(06);29.0(04);21.6(02);15.6(27);39.6(06/sep)
3195;17.5(24);16.2(11);22.5(30);22.3(26);29.2(21);35.8(28);38.6(18);37.9(03);38.9(06);27.6(06);21.0(03);14.5(27);38.9(06/sep)
3175;20.3(24);17.8(01);23.1(30);22.5(18);29.3(21);36.4(28);39.1(29);37.9(03);40.0(06);29.6(03);22.3(02);17.3(27);40.0(06/sep)
2462;11.9(23);14.1(01);9.6(26);12.4(27);19.2(04);25.1(28);28.7(26);28.9(22);30.0(06);20.2(29);15.1(02);13.4(30);30.0(06/sep)
6155A;24.1(04);23.9(22);26.6(25);27.1(28);31.3(19);39.7(13);39.0(22);41.7(04);35.0(05);29.6(11);24.5(03);20.4(06);41.7(04/ago)
