Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
3013;-7.4(17);-9.3(17);-6.8(13);-5.1(02);-4.1(02);-0.1(01);4.3(15);5.1(11);1.6(19);-2.1(31);-5.3(15);-11.0(30);-11.0(30/dic)
4642E;4.5(16);0.6(17);3.3(12);5.3(02);10.3(13);13.5(04);17.2(01);17.8(02);13.8(15);8.7(15);3.9(24);2.9(21);0.6(17/feb)
9898;-1.7(17);-3.9(17);-1.3(13);1.5(02);1.2(02);7.7(01);10.1(15);9.4(11);8.9(18);2.4(21);0.5(25);-4.0(30);-4.0(30/dic)
5270B;0.0(17);-0.2(17);2.8(12);5.0(01);8.2(11);12.9(04);18.6(08);18.4(11);12.1(15);;3.3(08);3.0(31);
9170;-1.6(21);-3.0(06);0.4(15);-0.9(02);3.6(02);8.9(01);10.4(15);11.3(21);8.4(29);2.9(15);0.5(25);-1.1(29);-3.0(06/feb)
C249I;14.0(10);9.6(19);12.5(14);13.9(12);15.9(26);17.0(02);;20.3(18);20.2(20);18.5(26);13.0(25);13.6(14);
C649I;15.2(09);9.7(19);14.0(24);15.1(20);;;;;;17.8(26);15.2(25);;
C029O;12.0(10);;12.0(14);12.8(03);15.0(26);17.2(02);;20.7(03);;;13.0(24);13.1(20);
2661;-3.0(16);-5.2(17);-4.6(14);-2.0(01);-1.2(01);4.2(01);6.4(13);5.8(11);5.2(18);4.2(11);-3.2(22);-5.0(31);-5.2(17/feb)
1549;-3.1(16);-2.8(19);-1.4(01);-0.9(01);1.8(01);8.0(01);10.0(13);10.4(21);7.5(18);4.6(31);-0.4(23);-5.9(30);-5.9(30/dic)
9771C;-4.1(17);-3.3(17);-0.7(13);3.3(25);3.0(02);10.0(01);11.9(15);12.9(11);9.4(18);4.8(21);0.5(08);-1.6(22);-4.1(17/ene)
1505;-2.7(16);-2.4(05);-2.4(01);-1.7(01);-0.6(01);4.6(01);6.7(13);6.2(21);5.8(18);3.9(10);-2.4(30);-6.0(31);-6.0(31/dic)
3191E;-1.6(17);-4.4(17);-1.6(14);0.7(01);1.5(01);7.5(16);9.1(14);13.3(11);8.5(19);6.2(15);1.0(24);-0.2(31);-4.4(17/feb)
3129;-4.1(17);-5.5(17);-2.2(12);-0.2(02);2.6(02);;12.5(14);15.1(11);9.0(19);3.3(31);-0.5(16);-5.6(31);
3196;-2.0(17);-4.0(17);-0.2(01);1.6(01);4.0(02);9.0(16);12.5(14);16.2(11);10.2(15);7.2(15);2.2(11);-4.5(31);-4.5(31/dic)
3200;-2.6(17);-4.4(17);0.4(01);2.4(02);4.4(02);10.4(16);14.3(15);17.0(10);8.8(15);7.2(31);1.8(11);-3.6(31);-4.4(17/feb)
3195;-0.9(17);-2.5(17);1.5(12);3.5(02);4.5(01);10.8(16);13.0(14);15.9(11);10.5(15);8.0(15);2.2(08);-2.4(31);-2.5(17/feb)
3175;-4.9(17);-6.1(17);-3.4(12);-1.6(02);0.5(02);6.6(02);11.9(14);14.2(15);7.3(19);2.5(31);-0.6(16);-6.8(31);-6.8(31/dic)
2462;-7.8(16);-11.3(17);-7.2(08);-7.5(01);-2.5(01);1.1(16);8.0(14);9.9(11);0.5(14);1.5(15);-5.1(08);-4.4(20);-11.3(17/feb)
6155A;5.3(14);2.9(17);4.9(12);7.8(02);10.9(03);14.6(01);20.0(17);19.8(09);15.4(18);12.7(15);6.8(24);5.2(27);2.9(17/feb)
6000A;8.8(17);7.8(17);8.4(12);9.0(02);13.8(12);16.8(01);21.0(17);21.2(28);18.0(17);16.0(15);9.4(18);8.8(27);7.8(17/feb)
7178I;1.7(17);1.0(17);4.2(09);6.2(02);8.6(02);15.6(02);18.4(17);18.7(13);14.5(16);10.4(30);4.6(24);4.0(24);1.0(17/feb)
7228;1.0(17);-0.6(17);2.0(13);5.1(02);6.0(02);14.4(01);16.9(17);16.4(13);13.5(15);8.7(30);2.5(25);2.7(25);-0.6(17/feb)
7031;1.2(17);1.0(17);3.2(12);7.8(02);7.5(02);15.5(01);19.4(05);18.0(09);14.0(16);10.5(30);3.6(25);4.0(26);1.0(17/feb)
9262;-0.6(21);-1.8(17);0.1(17);0.8(02);4.9(01);9.0(17);11.4(15);10.8(12);10.2(21);3.7(11);0.3(25);-3.8(29);-3.8(29/dic)
9263D;-2.9(21);-4.7(17);-2.1(18);-1.5(02);3.3(02);8.1(17);;9.4(12);;;-1.1(25);-3.4(30);
1690A;-1.6(16);-1.1(16);-0.6(01);0.7(01);2.0(01);8.1(01);9.8(13);9.9(20);9.5(17);6.2(03);1.5(23);-1.6(31);-1.6(16/ene)
1484C;2.5(16);1.7(19);2.0(01);3.2(01);6.4(01);10.2(01);12.6(12);11.1(14);10.4(14);7.5(14);3.1(07);1.7(27);1.7(19/feb)
1495;1.3(16);;2.7(01);;4.2(01);10.6(18);11.2(13);;10.6(14);7.7(14);;2.1(27);
2867;;-5.1(17);-4.8(12);-2.5(01);0.5(01);5.2(18);8.8(14);7.5(12);4.3(22);;-3.0(16);-7.2(31);
2870;-2.0(16);-3.1(17);-2.0(12);-0.3(01);1.9(01);7.4(18);;;;4.1(31);0.0(08);-5.0(31);
C929I;16.0(11);13.0(19);14.9(17);15.9(14);16.7(10);19.4(01);;22.0(03);22.2(19);17.6(24);16.9(26);15.9(25);
C430E;-0.7(30);-4.9(19);-4.9(21);-1.0(19);-1.3(11);1.2(17);8.7(02);9.6(31);7.2(22);2.3(25);-2.5(23);-2.4(23);-4.9(19/feb)
C139E;;11.5(19);14.0(14);14.9(01);15.8(04);;;;;17.5(26);;;
C449C;15.1(01);11.7(19);13.4(27);15.5(01);16.8(07);17.6(01);19.7(05);21.3(19);20.7(06);17.5(26);16.3(25);15.6(21);11.7(19/feb)
C447A;9.1(06);5.5(19);6.7(14);8.4(12);9.0(04);11.3(01);14.4(07);15.1(19);;;9.8(29);;
C429I;12.5(08);10.7(20);;;15.1(27);;;19.3(14);;17.8(26);;;
2465;-3.5(16);-6.3(17);-3.9(14);-1.3(06);-0.5(02);7.0(19);8.5(13);8.1(11);7.1(18);5.0(10);-1.3(15);-4.5(26);-6.3(17/feb)
5796;2.9(17);-1.8(17);0.6(11);2.9(01);9.3(11);;17.6(18);15.6(31);11.4(15);8.9(31);3.1(08);1.8(27);
5783;4.0(19);0.3(17);3.4(09);5.7(01);11.0(14);13.7(04);18.3(01);17.5(21);13.4(15);10.6(15);4.5(24);3.6(31);0.3(17/feb)
2030;-5.2(17);-8.0(17);-5.4(15);-4.3(02);0.3(01);3.8(01);5.5(14);5.5(11);4.4(21);-0.7(21);-3.0(07);-7.1(30);-8.0(17/feb)
0016A;-2.0(17);-0.5(17);2.8(09);5.4(26);7.8(03);;;;;9.5(11);2.5(25);-1.7(29);
9981A;2.8(21);0.2(20);4.9(16);6.6(29);8.7(04);13.6(02);16.7(17);16.8(25);12.3(15);10.5(30);4.4(16);1.3(29);0.2(20/feb)
9381I;-6.0(17);-7.5(17);-6.1(13);-3.6(02);-2.9(02);1.5(01);4.8(15);5.8(11);5.2(21);0.1(31);-4.0(25);-8.9(30);-8.9(30/dic)
8368U;-7.9(17);-9.8(17);-5.0(13);-2.8(02);-2.7(02);4.1(01);6.7(15);8.7(11);5.2(15);1.2(31);-3.5(16);-7.2(30);-9.8(17/feb)
3260B;-3.0(17);-2.9(17);-0.8(12);0.8(01);3.8(01);9.8(01);15.1(15);15.7(11);9.9(15);5.4(31);0.4(16);;
8416;2.8(17);4.2(17);5.9(08);8.3(02);10.3(02);15.5(02);19.7(18);19.6(11);15.8(15);12.2(30);6.8(25);4.4(30);2.8(17/ene)
8414A;-1.1(17);-1.5(17);1.8(11);4.0(02);5.6(02);12.3(02);17.7(19);17.8(15);12.8(15);8.1(30);3.8(08);1.5(29);-1.5(17/feb)
2422;-3.0(17);-4.4(17);-3.0(15);-1.5(01);-0.1(01);6.6(01);8.6(15);10.0(11);7.5(19);3.0(31);-1.2(08);-6.6(31);-6.6(31/dic)
2539;-4.3(16);-6.5(17);-4.9(14);-4.0(01);-1.7(01);4.2(17);7.2(15);6.4(12);5.4(18);2.4(31);-3.2(08);-7.3(31);-7.3(31/dic)
2614;-2.3(16);-3.2(17);-2.9(14);-0.5(01);1.6(01);7.4(01);9.8(14);10.0(11);7.9(18);4.1(31);-0.3(29);-5.4(30);-5.4(30/dic)
9390;-5.5(17);-7.5(17);-4.9(13);-2.8(02);-2.1(02);3.0(01);6.2(15);6.1(11);5.6(19);1.3(11);-2.8(25);-8.0(30);-8.0(30/dic)
9434;-0.5(21);-0.8(17);1.5(14);1.8(02);7.4(01);11.1(17);13.5(15);14.2(12);12.5(15);6.5(21);1.2(25);0.0(30);-0.8(17/feb)
