Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
9091O;7.8;7.7;7.9;10.5;;16.9;20.0;21.7;;;10.6;8.0;
4452;12.3;11.8;12.8;15.2;19.0;23.7;28.5;28.9;26.8;21.6;15.4;12.0;19.0
0200E;10.5;10.1;10.5;14.1;17.0;22.4;25.7;;;;;;
2331;5.4;5.2;5.4;8.8;14.7;21.4;25.9;26.3;22.3;15.9;8.6;5.8;13.8
3469A;11.1;10.7;11.3;14.1;17.8;24.1;29.3;30.4;27.3;21.3;14.7;11.2;18.6
8096;7.6;7.5;;11.9;15.7;22.4;;;23.9;;11.2;7.8;
1024E;9.7;8.7;8.7;11.7;15.4;18.7;;21.6;;;10.8;9.3;
1484C;11.9;11.5;11.5;13.0;15.7;18.3;21.0;21.8;20.4;;14.7;12.1;
2867;8.6;8.5;9.3;13.0;18.0;24.6;29.6;30.1;;19.1;12.2;8.9;
2422;7.0;7.4;8.6;12.3;17.7;25.1;30.0;30.7;26.4;;11.0;7.2;
2539;6.9;6.8;6.9;9.5;13.8;18.8;23.5;24.5;21.0;16.0;;6.9;
9434;9.0;;10.7;16.0;20.3;;;;;;;;
