Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;0;0;0;0;0;0;1;1;0;0;0;0;2
1387E;0;0;0;0;0;0;2;2;0;;0;0;
1428;0;;0;0;1;0;7;11;6;0;0;0;
8175;0;0;0;0;0;22;29;27;12;0;0;0;90
8178D;0;0;0;0;0;23;30;28;14;1;0;0;96
8025;0;0;0;0;1;5;23;18;10;1;0;0;58
8019;0;0;0;;;10;;22;;2;0;0;
6325O;;0;0;0;0;7;24;22;13;3;0;0;
9091O;0;0;0;0;0;4;7;14;9;0;0;0;34
1212E;0;;0;0;;0;;;;;0;;
1208H;0;0;0;0;0;0;0;0;0;0;0;0;0
1249I;0;0;0;0;0;0;1;2;2;0;0;0;5
2444;0;0;0;0;0;8;18;16;7;0;0;0;49
4452;0;0;0;0;3;22;31;31;23;6;0;0;116
B954;0;0;0;0;0;;13;5;8;;0;0;
B893;0;0;0;0;;6;;16;11;1;0;;
B228;0;0;0;0;0;2;19;13;;0;0;0;
B278;0;0;0;0;0;10;27;25;12;0;0;0;74
0200E;0;0;0;0;0;2;17;13;7;0;0;0;39
0076;0;0;0;0;0;1;5;5;4;0;0;0;15
1082;0;0;0;0;0;3;3;8;6;0;0;0;20
2331;0;0;0;0;0;6;14;14;7;0;0;0;41
3469A;0;0;0;0;0;16;30;31;15;2;0;0;94
5973;0;0;0;0;0;2;11;;7;0;0;0;
5960;0;0;0;0;5;24;30;31;24;9;0;0;123
5910;0;0;0;0;1;12;21;28;15;4;0;0;81
6001;;;;;;0;3;1;3;0;;0;
1111;0;0;0;0;0;0;2;0;0;0;0;0;2
1109;;;;;;;;;;;;0;
8500A;0;0;0;0;0;5;21;24;11;0;0;0;61
5000C;0;0;0;0;0;5;8;9;6;1;0;;
4121;0;0;0;0;1;23;31;31;13;0;0;0;99
5402;0;0;0;0;9;26;;;26;10;;0;
8096;0;0;0;0;0;15;28;28;12;0;0;0;83
1014;0;0;0;0;1;1;2;7;3;0;0;0;14
1024E;0;0;0;0;0;1;2;4;2;0;0;0;9
0367;0;;0;;0;9;;28;13;0;;0;
5530E;0;0;0;0;8;26;31;31;24;8;0;0;128
5514;0;0;0;0;1;22;31;30;14;4;0;0;102
3013;0;0;0;0;0;9;23;27;9;0;0;0;68
4642E;0;0;0;0;1;19;26;30;20;3;0;0;99
9898;0;0;0;0;1;14;28;26;9;0;0;0;78
5270B;0;0;0;0;2;22;31;31;13;;0;0;
9170;0;0;0;0;1;10;19;22;10;0;0;0;62
C249I;0;0;0;0;1;2;;11;0;1;0;0;
C649I;0;0;0;0;;;;;;1;0;;
C029O;0;;0;0;0;5;;19;;;0;0;
2661;0;0;0;0;0;2;15;13;6;0;0;0;36
1549;0;0;0;0;0;8;23;24;9;0;0;0;64
9771C;0;0;0;0;1;18;28;28;12;0;0;0;87
1505;0;0;0;0;0;1;6;7;7;0;0;0;21
3191E;0;0;0;0;0;9;24;25;9;0;0;0;67
3129;0;0;0;0;0;;30;30;12;0;0;0;
3196;0;0;0;0;0;18;31;31;12;0;0;0;92
3200;0;0;0;0;0;18;31;31;12;0;0;0;92
3195;0;0;0;0;0;18;31;30;12;0;0;0;91
3175;0;0;0;0;0;19;30;30;12;0;0;0;91
2462;0;0;0;0;0;0;0;0;1;0;0;0;1
6155A;0;0;0;0;4;9;20;11;8;0;0;0;52
6000A;0;0;0;0;0;5;6;9;6;0;0;0;26
7178I;0;0;0;0;7;28;31;31;23;7;0;0;127
7228;0;0;0;0;6;24;31;30;21;6;0;0;118
7031;0;0;0;0;0;5;3;5;3;0;0;0;16
9262;0;0;0;0;0;4;12;15;8;0;0;0;39
9263D;0;0;0;0;1;5;;16;;;0;0;
1690A;0;0;0;0;3;11;25;27;13;0;0;0;79
1484C;0;0;0;0;0;0;15;7;1;0;0;0;23
1495;0;;0;;0;0;16;;6;0;;0;
2867;;0;0;0;0;10;24;23;9;;0;0;
2870;0;0;0;0;0;13;;;;0;0;0;
C929I;0;0;0;0;0;0;;0;0;0;0;0;
C430E;0;0;0;0;0;0;0;0;0;0;0;0;0
C139E;;0;0;0;0;;;;;0;;;
C449C;0;0;0;0;0;3;15;15;3;0;0;0;36
C447A;0;0;0;0;0;2;6;11;;;0;;
C429I;0;0;;;0;;;12;;4;;;
2465;0;0;0;0;0;8;21;20;8;0;0;0;57
5796;0;0;0;0;6;;30;31;23;11;0;0;
5783;0;0;0;0;8;24;31;31;25;8;0;0;127
2030;0;0;0;0;0;5;18;17;9;0;0;0;49
0016A;0;0;0;0;0;;;;;0;0;0;
9981A;0;0;0;0;2;23;31;29;15;3;0;0;103
9381I;0;0;0;0;0;10;25;23;9;0;0;0;67
8368U;0;0;0;0;0;17;28;28;11;0;0;0;84
3260B;0;0;0;0;3;24;31;31;16;4;0;;
8416;0;0;0;0;2;2;15;6;7;0;0;0;32
8414A;0;0;0;0;2;2;19;20;10;0;0;0;53
2422;0;0;0;0;0;12;23;21;9;0;0;0;65
2539;0;0;0;0;0;4;20;17;8;0;0;0;49
2614;0;0;0;0;0;12;26;22;9;0;0;0;69
9390;0;0;0;0;0;10;22;22;9;0;0;0;63
9434;0;0;0;0;3;21;28;25;13;0;0;0;90
