Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
5514;6.6(04);10.3(10);8.8(07);25.5(04);15.4(12);0.7(30);0.8(06);0.7(15);1.8(13);27.4(12);32.7(21);15.5(14);32.7(21/nov)
3013;40.8(04);16.0(12);5.2(19);13.8(04);5.4(29);22.0(29);4.2(06);;6.2(14);13.4(12);21.4(05);2.6(16);
4642E;14.2(08);9.0(26);11.8(19);26.0(19);31.0(07);0.0(--);0.6(07);2.2(15);7.9(13);22.4(22);36.6(20);52.0(03);52.0(03/dic)
9898;13.2(03);34.4(26);37.3(14);47.7(04);13.5(09);6.3(04);7.6(07);2.2(16);11.5(13);18.6(13);49.4(23);2.4(16);49.4(23/nov)
5270B;19.0(04);28.6(26);10.6(07);47.0(04);20.2(12);0.0(--);1.0(07);2.8(10);6.4(13);14.4(23);34.6(21);12.0(14);47.0(04/abr)
9170;22.9(03);26.1(10);11.0(10);6.1(04);4.5(29);4.0(17);14.5(06);8.1(15);4.9(15);4.2(13);27.7(23);3.9(16);27.7(23/nov)
C249I;2.0(05);11.8(18);1.1(31);0.0(--);0.1(08);0.0(--);0.0(--);0.0(--);0.0(--);24.1(25);14.8(06);1.2(01);24.1(25/oct)
C649I;5.3(05);18.3(18);3.0(30);0.2(06);1.8(08);0.4(15);0.0(--);0.3(21);2.8(03);17.2(25);8.0(06);6.1(24);18.3(18/feb)
C029O;0.0(--);25.9(18);1.4(23);0.4(19);1.0(09);0.0(--);0.0(--);0.0(--);0.0(--);29.3(25);10.4(05);2.5(03);29.3(25/oct)
2661;23.2(09);11.3(13);12.5(19);23.2(20);12.5(06);8.2(15);3.8(05);7.4(25);6.2(13);20.5(22);9.9(20);10.9(14);23.2(09/ene)
1549;40.4(09);25.8(14);13.6(28);17.0(15);14.6(12);6.2(15);0.0(--);9.2(24);15.0(13);10.8(22);26.0(20);7.2(15);40.4(09/ene)
9771C;5.6(04);33.8(26);9.8(14);22.2(04);19.8(09);1.6(29);0.2(07);0.2(16);6.2(13);13.2(13);12.6(23);2.2(16);33.8(26/feb)
1505;38.4(07);25.8(10);16.4(30);18.8(16);14.0(07);25.9(15);1.9(06);4.7(24);22.0(13);13.4(15);31.8(24);11.0(15);38.4(07/ene)
3191E;18.2(08);18.2(12);24.6(21);28.3(19);15.8(07);5.6(15);6.7(05);1.2(09);6.7(13);25.3(23);22.9(26);24.6(03);28.3(19/abr)
3129;12.0(10);11.3(06);31.4(21);30.2(19);18.9(06);0.2(15);4.9(05);0.0(--);5.9(13);;15.7(20);9.7(04);
3196;14.3(10);14.8(06);18.4(21);27.8(19);11.0(08);3.0(03);5.2(06);0.0(--);5.1(13);15.1(12);14.9(05);12.0(03);27.8(19/abr)
3200;12.8(10);12.6(06);18.6(21);25.9(19);13.3(08);0.0(--);2.5(05);0.0(--);3.8(13);17.4(12);18.9(05);10.7(03);25.9(19/abr)
3195;12.0(10);13.8(06);19.8(21);27.8(19);14.8(08);0.6(03);5.7(06);0.0(--);7.0(13);21.8(22);19.9(26);12.1(03);27.8(19/abr)
3175;10.4(10);10.0(06);26.1(21);24.6(19);14.2(08);1.1(28);4.0(06);0.0(--);6.5(13);19.0(22);14.2(05);5.4(03);26.1(21/mar)
2462;29.0(08);104.3(12);16.5(19);39.8(19);46.2(07);9.7(16);6.9(06);3.5(15);14.0(13);55.4(22);59.8(26);37.2(04);104.3(12/feb)
6155A;37.8(29);9.7(18);3.4(07);13.4(19);31.3(06);0.3(28);0.7(06);0.0(--);2.0(13);27.0(12);74.7(25);52.7(03);74.7(25/nov)
6000A;16.1(26);18.7(26);4.8(22);17.5(20);4.6(12);0.8(27);0.5(31);0.4(15);4.6(19);8.2(13);12.8(22);38.1(08);38.1(08/dic)
7178I;9.6(15);2.0(19);21.4(21);12.4(04);6.2(12);3.4(04);0.0(--);3.2(16);19.2(28);7.6(20);5.6(22);109.2(18);109.2(18/dic)
7228;14.9(29);1.7(18);18.4(21);11.8(04);2.8(08);1.4(04);0.3(20);2.7(16);7.7(28);22.3(20);7.4(22);112.4(18);112.4(18/dic)
7031;8.4(15);1.7(15);20.5(21);11.1(04);1.5(12);0.1(29);0.0(--);0.7(16);5.8(27);2.9(13);12.4(23);;
9262;26.7(03);30.2(27);40.2(09);16.1(07);17.6(08);13.6(17);12.6(21);1.3(19);20.7(15);17.4(13);37.3(22);4.6(22);40.2(09/mar)
9263D;25.4(15);34.7(27);42.0(09);7.8(16);17.0(08);8.7(17);11.3(21);3.6(19);17.6(15);14.1(13);39.7(23);0.7(16);42.0(09/mar)
1690A;38.8(10);27.0(12);21.8(19);24.0(15);17.4(11);13.6(15);0.0(--);17.2(24);24.0(12);14.0(22);26.4(20);17.8(15);38.8(10/ene)
1484C;43.2(03);56.8(12);25.0(28);31.2(15);26.6(27);22.4(14);3.6(21);14.6(18);85.0(12);35.4(22);27.2(12);22.4(13);85.0(12/sep)
1495;78.6(03);136.5(12);32.6(27);30.5(15);20.1(21);16.3(15);5.7(18);4.4(18);71.8(12);24.3(22);39.1(08);22.6(15);136.5(12/feb)
2867;23.7(04);11.0(26);5.2(30);11.4(16);11.3(28);0.7(15);4.2(05);3.4(26);8.2(13);8.4(17);14.0(04);8.1(14);23.7(04/ene)
2870;22.2(04);10.1(12);4.7(30);13.2(20);11.8(28);1.7(15);;4.6(26);;8.7(11);13.3(20);6.0(14);
C929I;6.4(10);3.2(18);6.0(30);4.9(17);8.8(08);0.1(10);0.4(20);0.0(--);0.3(18);17.6(25);7.3(04);10.5(24);17.6(25/oct)
C430E;3.8(05);60.8(21);36.2(30);0.2(19);12.8(08);0.0(--);0.0(--);0.0(--);0.0(--);4.8(25);12.4(22);11.2(23);60.8(21/feb)
