Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;23;25;44;;;52;72;72;57;62;45;58;
1387E;9;9;;;;;;;;;;;
1428;20;25;36;38;37;49;69;73;;50;44;57;
8175;56;57;69;;66;;81;84;84;63;57;46;
8025;63;64;69;71;;84;81;85;82;65;59;54;
8019;51;49;;;;;;;;;;;
6325O;58;54;74;66;72;80;81;83;79;67;62;61;70
9091O;27;35;29;39;46;40;45;65;50;51;30;31;41
1212E;29;24;34;34;33;;;;;50;38;61;
1208H;28;30;37;36;43;43;36;58;40;48;29;50;40
1249I;35;28;33;32;38;39;36;55;43;49;34;60;40
2444;34;45;53;53;58;79;84;90;79;60;40;;
4452;33;49;61;62;58;88;88;92;84;64;55;55;66
B954;33;;58;55;71;82;;83;80;;59;46;
B893;41;37;47;;62;71;;86;66;56;49;55;
B228;53;48;59;60;67;77;82;79;68;57;56;61;64
B278;51;44;55;59;64;74;79;78;65;54;48;49;60
0200E;52;67;55;57;64;74;79;77;66;35;61;69;63
0076;;57;54;50;;;;69;;29;45;45;
1082;20;26;16;26;39;36;30;50;46;45;33;43;34
2331;23;35;34;40;54;67;79;80;63;61;39;51;52
3469A;31;51;66;61;61;88;89;93;87;65;56;59;67
5960;;53;68;57;68;;82;87;83;71;59;70;
5910;47;53;79;62;72;87;84;86;82;66;56;63;70
1111;;34;;;53;48;44;61;51;50;38;53;
1109;;;;;;;;;;;;43;
8500A;57;68;64;67;66;80;79;78;76;55;56;59;67
5000C;48;50;75;64;59;75;74;72;71;46;50;;
4121;33;46;64;56;59;87;84;90;86;65;51;38;63
5402;40;44;70;62;61;88;86;93;76;65;58;64;67
8096;36;48;57;48;50;64;67;77;70;52;42;52;55
1014;24;33;31;37;43;42;39;62;53;48;32;44;41
1024E;27;34;29;38;45;44;35;62;52;49;36;50;42
0367;53;57;56;;;;;;;;;;
5530E;50;49;68;62;65;87;83;88;86;71;52;69;69
5514;48;41;66;63;64;83;78;84;79;61;49;68;65
3013;;44;49;49;55;72;79;80;66;53;41;45;
4642E;53;57;80;67;69;89;87;92;89;68;66;73;74
9898;40;56;58;57;64;75;83;86;73;;52;31;
5270B;43;50;65;57;;86;84;89;84;;51;59;
9170;33;49;39;48;55;64;64;79;64;58;;30;
C249I;63;48;53;65;57;71;;73;76;58;57;60;
C649I;72;49;48;64;;;;;;;;;
C029O;73;51;62;62;58;73;65;78;77;59;68;64;66
1549;22;38;53;52;46;67;87;81;74;61;36;40;55
9771C;41;64;71;69;69;79;86;86;79;53;41;11;62
1505;21;25;41;40;42;49;;68;;;30;35;
3191E;34;54;65;49;54;79;79;86;74;53;45;54;61
3129;36;51;66;50;53;;82;87;;56;47;53;
3196;40;55;65;55;57;82;82;87;74;57;50;58;64
3200;42;56;66;57;56;82;82;88;78;60;52;57;65
3175;39;53;64;57;57;82;85;88;74;56;48;46;62
2462;18;31;36;35;47;70;81;84;69;54;28;52;50
6155A;;;69;56;60;83;80;83;87;72;61;51;
6000A;57;62;72;63;60;69;60;67;63;56;59;49;61
7178I;63;62;72;68;73;83;82;85;83;63;61;47;70
7228;65;59;65;;71;81;78;82;72;57;61;49;
7031;58;53;66;62;71;81;78;84;70;61;;44;
9263D;19;32;;;;;;77;;59;30;37;
1690A;18;28;45;44;41;63;77;75;64;48;24;35;47
1484C;16;26;43;51;43;60;82;76;67;44;35;51;50
1495;14;;;;;;;;;;;;
2867;31;48;58;60;60;85;90;92;84;65;45;46;64
C929I;63;49;58;62;64;70;;65;70;67;56;55;
C430E;87;74;87;93;90;97;95;93;98;77;67;61;85
C139E;53;39;33;54;42;59;;66;60;51;46;48;
C449C;76;;58;70;64;84;85;87;84;70;57;;
C447A;77;39;39;37;32;;58;66;70;49;32;;
C429I;79;72;;65;62;75;;84;84;66;;61;
2465;28;39;46;51;57;73;84;88;78;61;42;57;59
5796;50;55;69;57;65;85;82;86;75;67;60;68;68
5783;;57;78;63;68;89;88;92;88;70;65;75;
2030;40;50;45;53;56;70;75;82;66;63;47;56;59
0016A;50;63;62;59;60;73;78;69;64;42;60;70;63
9981A;45;63;57;60;60;72;81;76;67;50;50;61;62
9381I;;55;49;51;53;64;75;75;66;58;48;47;
8368U;46;53;;56;60;68;75;;68;52;42;41;
3260B;44;53;72;60;58;87;87;90;86;63;57;;
8416;47;56;;60;58;;69;74;69;;53;49;
8414A;55;64;60;63;66;77;77;80;74;55;55;57;65
2422;25;46;57;54;55;79;84;84;75;63;39;34;58
2539;27;44;50;47;55;80;84;86;70;59;43;36;57
2614;16;41;;51;;82;86;83;;55;31;14;
9390;38;50;47;56;56;69;78;82;63;54;43;34;56
9434;38;55;51;63;66;76;81;82;71;53;51;;
