Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;10;14;15;2;12;4;5;5;13;5;10;16;111
1387E;7;13;15;3;14;7;3;7;11;4;11;16;111
1428;12;16;15;3;13;8;5;5;6;5;9;15;112
8175;3;6;5;5;2;1;1;3;1;1;3;4;35
8178D;3;6;4;5;2;1;3;3;1;1;3;4;36
8025;4;2;3;1;0;0;2;3;1;2;3;0;21
8019;3;2;3;1;0;0;2;2;1;3;3;0;20
6325O;5;0;3;2;0;0;0;3;0;1;2;0;16
9091O;7;10;9;4;8;10;2;3;5;5;12;19;94
1212E;10;13;11;8;12;10;6;9;15;7;15;16;132
1208H;9;12;10;7;10;9;5;9;13;7;15;17;123
1249I;8;10;10;6;13;9;3;9;10;5;15;17;115
2444;1;11;6;2;5;2;2;3;0;2;6;6;46
4452;3;6;8;2;4;2;1;2;0;3;3;3;37
B954;9;3;3;1;0;1;0;2;3;3;4;5;34
B893;14;3;3;3;0;3;3;1;4;3;7;7;51
B228;10;5;3;1;1;2;1;1;5;4;8;6;47
B278;10;6;3;1;1;2;0;1;5;4;5;6;44
0200E;5;4;3;7;3;3;1;6;6;3;2;1;44
0076;4;4;3;5;3;;1;3;11;;1;2;
1082;8;9;9;7;9;11;7;8;17;8;15;20;128
2331;2;8;7;3;10;8;3;4;1;2;5;7;60
3469A;5;8;7;3;4;3;1;2;0;1;6;5;45
5973;2;7;8;2;4;0;0;3;0;2;3;7;38
5960;2;6;8;2;5;0;1;3;0;2;3;4;36
5910;2;7;7;3;3;0;1;1;0;2;4;5;35
6001;;9;8;4;;0;0;0;;2;;7;
1111;8;11;8;6;9;8;6;8;16;8;13;20;121
1109;8;11;9;6;10;10;6;8;17;6;13;20;124
8500A;4;4;5;3;2;2;0;3;1;3;1;0;28
5000C;3;9;6;3;;;0;0;1;3;3;;
4121;3;7;6;4;3;3;1;2;0;2;1;7;39
5402;2;8;8;4;4;1;2;1;0;2;3;5;40
8096;3;9;6;6;4;5;2;4;1;2;1;7;50
1014;9;13;13;5;12;12;9;9;18;8;13;18;139
1024E;9;11;13;5;11;15;9;12;16;9;15;22;147
0367;8;6;3;4;3;4;5;5;7;2;2;2;51
5530E;1;6;6;3;2;0;0;1;0;2;4;5;30
5514;1;6;5;2;1;1;0;1;0;2;4;5;28
3013;2;4;;5;7;7;4;3;3;2;1;7;
4642E;3;9;5;2;2;0;0;0;0;2;2;2;27
9898;1;6;6;2;3;6;1;5;4;2;1;6;43
5270B;3;6;7;5;4;0;1;2;0;2;4;6;40
9170;6;10;5;2;9;8;2;4;4;3;5;11;69
C249I;1;2;0;0;1;0;0;0;0;0;0;2;6
C649I;1;2;2;1;1;0;0;0;0;2;2;3;14
C029O;1;5;2;0;0;0;0;0;0;0;2;1;11
2661;3;11;4;3;9;3;1;3;1;3;5;7;53
1549;5;10;9;2;9;4;2;3;2;5;5;13;69
9771C;1;3;6;5;4;6;2;2;3;2;2;2;38
1505;8;14;15;4;12;7;4;5;5;4;10;14;102
3191E;3;8;5;5;6;4;3;2;0;2;2;5;45
3129;2;6;6;5;4;2;3;2;0;2;2;4;38
3196;2;8;5;3;5;1;4;2;0;2;2;3;37
3200;2;8;6;4;3;4;3;1;0;2;3;4;40
3195;3;7;6;4;4;1;4;1;0;2;2;3;37
3175;2;7;4;4;4;3;4;2;0;2;2;3;37
2462;9;12;11;6;9;6;2;4;1;5;7;16;88
6155A;3;7;4;3;2;0;0;1;1;2;4;1;28
6000A;4;1;3;4;3;0;0;3;0;2;2;5;27
7178I;2;2;2;2;0;0;0;2;0;2;2;1;15
7228;2;1;3;2;0;0;1;2;1;1;3;1;17
7031;;0;3;0;0;0;1;3;0;2;2;0;
9262;8;10;9;5;7;10;3;7;5;3;10;17;94
9263D;7;;8;3;8;9;3;6;7;3;8;15;
1690A;5;11;11;3;10;7;1;3;1;4;5;11;72
1484C;10;16;16;2;10;5;5;5;8;5;6;14;102
1495;9;14;17;2;10;5;6;5;8;4;6;13;99
2867;1;7;3;3;5;4;2;2;0;1;5;5;38
2870;3;6;3;2;6;3;1;2;0;1;5;6;38
C929I;2;4;2;1;2;0;0;0;0;0;3;3;17
C430E;4;7;4;1;1;0;0;0;1;0;4;3;25
C139E;1;6;2;3;0;0;0;0;1;2;7;5;27
C449C;1;6;3;2;0;0;0;0;0;0;3;4;19
C447A;7;9;7;1;6;5;2;2;3;3;3;3;51
C429I;0;3;1;2;0;0;0;0;0;0;0;0;6
2465;2;8;5;3;10;4;2;4;0;3;5;13;59
5796;2;5;8;2;4;0;0;1;0;2;2;5;31
5783;2;8;8;2;4;0;0;1;0;2;4;3;34
2030;3;9;6;2;9;11;3;3;1;2;3;9;61
0016A;1;3;4;2;4;3;1;3;5;3;2;1;32
9981A;6;3;6;3;2;3;2;2;3;1;1;1;33
9381I;5;6;5;;;4;3;5;1;2;2;4;
8368U;3;3;3;1;4;6;5;6;2;2;1;2;38
3260B;2;6;5;3;4;2;3;3;0;2;2;4;36
8416;5;5;4;4;2;3;0;4;2;2;2;2;35
8414A;4;4;4;4;2;2;0;3;2;4;2;0;31
2422;3;8;3;2;6;2;2;2;0;2;3;4;37
2539;2;9;3;1;5;2;3;3;0;2;3;5;38
2614;3;8;4;1;6;3;2;3;0;1;4;5;40
9390;4;4;6;3;5;7;2;4;1;1;2;3;42
9434;1;5;5;1;3;7;2;3;3;1;1;4;36
