Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;15;18;18;4;14;10;8;12;17;7;17;19;159
1387E;17;18;17;5;15;8;7;11;16;12;19;23;168
1428;15;18;19;4;15;8;8;9;18;7;16;21;158
8175;5;8;6;5;3;3;4;4;2;1;3;6;50
8178D;6;10;6;5;5;3;6;7;2;1;3;5;59
8025;7;6;4;2;0;1;2;4;2;2;3;3;36
8019;7;8;6;3;1;3;3;4;3;4;5;3;50
6325O;5;1;5;4;0;0;0;3;0;2;5;3;28
9091O;12;13;12;8;11;11;6;4;13;7;15;22;134
1212E;16;17;18;11;16;14;15;15;17;11;16;18;184
1208H;15;17;15;8;15;15;11;15;16;12;16;17;172
1249I;16;15;14;9;16;19;13;14;14;10;16;18;174
2444;6;11;9;5;5;4;2;3;0;3;6;8;62
4452;7;11;10;2;5;2;1;3;0;4;7;9;61
B954;15;5;6;5;5;3;0;5;5;7;6;9;71
B893;16;6;10;6;1;4;5;6;8;8;9;20;99
B228;16;8;5;3;1;3;1;2;8;6;10;11;74
B278;14;7;3;5;1;3;1;4;6;8;10;12;74
0200E;8;7;4;10;6;9;4;9;9;5;2;5;78
0076;7;5;5;8;6;;2;7;13;;2;5;
1082;13;15;13;9;12;17;13;13;22;13;19;24;183
2331;6;9;8;4;11;11;3;5;3;2;11;11;84
3469A;7;10;9;3;5;4;1;3;0;2;6;8;58
5973;3;13;10;4;6;0;1;3;2;3;4;7;56
5960;5;13;13;5;7;1;1;4;2;4;6;7;68
5910;3;10;11;4;5;0;1;2;2;2;5;8;53
6001;;10;9;4;;0;1;2;;3;;9;
1111;9;13;12;8;12;15;11;12;19;10;17;22;160
1109;9;13;12;8;12;16;14;13;21;12;15;22;167
8500A;4;5;5;5;4;3;1;6;2;3;2;2;42
5000C;3;11;8;4;;;1;2;2;4;4;;
4121;7;11;10;7;4;3;1;2;0;2;3;10;60
5402;2;10;10;5;5;1;2;2;0;2;4;7;50
8096;6;9;8;7;7;6;3;6;1;3;4;9;69
1014;9;14;14;7;15;15;11;12;22;10;15;21;165
1024E;10;16;14;6;14;16;15;15;20;13;17;23;179
0367;11;8;7;7;6;6;7;7;12;8;3;3;85
5530E;2;11;6;4;2;1;0;2;1;2;5;9;45
5514;2;11;6;3;3;1;1;1;1;2;4;6;41
3013;7;8;;7;9;10;5;4;4;3;3;11;
4642E;3;9;7;2;5;0;0;0;0;3;5;6;40
9898;1;7;8;4;8;8;4;8;5;3;4;9;69
5270B;3;8;8;6;5;1;1;2;0;2;4;6;46
9170;8;12;10;4;10;10;6;4;6;4;13;17;104
C249I;4;9;2;0;1;1;0;0;2;0;2;3;24
C649I;5;7;5;1;4;0;0;1;3;2;4;5;37
C029O;3;10;2;0;0;1;0;0;3;2;3;4;28
2661;10;15;10;3;14;7;3;3;2;5;5;13;90
1549;6;13;12;3;12;5;2;3;3;5;7;14;85
9771C;4;5;6;7;5;7;2;5;5;2;2;5;55
1505;16;15;17;4;17;10;7;9;12;5;15;19;146
3191E;4;10;10;7;9;7;3;4;0;2;5;11;72
3129;3;11;6;6;6;4;4;3;0;2;4;4;53
3196;5;10;7;6;5;3;4;3;0;3;3;6;55
3200;3;11;7;5;5;5;3;4;0;2;4;6;55
3195;3;10;7;6;5;5;4;3;0;2;5;4;54
3175;3;10;5;6;6;4;4;3;0;4;4;6;55
2462;13;12;13;7;11;9;3;5;1;5;11;17;107
6155A;4;11;6;4;2;0;0;2;1;2;4;3;39
6000A;6;4;4;6;5;1;1;3;2;2;2;11;47
7178I;3;6;4;3;0;1;2;5;3;2;3;3;35
7228;5;5;5;3;0;1;1;4;1;2;5;1;33
7031;;4;5;5;0;0;2;3;2;3;2;1;
9262;9;11;11;5;8;11;5;8;9;4;13;17;111
9263D;9;;13;5;10;11;6;8;11;5;17;19;
1690A;10;15;15;4;11;7;3;3;3;6;6;16;99
1484C;14;18;18;2;15;7;6;5;11;7;7;14;124
1495;15;16;19;2;13;7;7;6;12;8;7;15;127
2867;4;10;8;4;8;6;2;3;0;4;7;11;67
2870;4;10;7;3;6;6;2;4;0;5;7;13;67
C929I;6;6;3;4;4;0;1;1;3;1;6;5;40
C430E;4;9;4;3;1;0;0;0;2;0;7;5;35
C139E;5;8;6;6;1;2;3;0;1;3;8;7;50
C449C;7;8;6;2;1;0;0;1;0;1;4;4;34
C447A;15;15;12;5;13;9;6;4;5;8;5;7;104
C429I;0;4;1;4;0;0;0;0;0;1;1;2;13
2465;6;11;10;4;10;5;2;6;0;5;6;16;81
5796;4;9;11;5;5;0;0;3;1;3;5;6;52
5783;3;10;11;4;7;0;2;2;0;2;6;5;52
2030;4;9;10;4;11;11;5;4;3;2;6;13;82
0016A;6;6;5;5;5;6;3;6;7;3;2;5;59
9981A;7;6;7;5;3;5;2;5;4;2;1;3;50
9381I;8;11;9;;;7;4;6;2;2;4;8;
8368U;8;5;6;5;8;6;5;10;2;2;1;3;61
3260B;3;10;9;5;5;2;3;4;0;2;5;6;54
8416;9;6;4;4;2;4;4;9;3;4;2;5;56
8414A;5;7;4;5;3;4;5;8;4;4;2;3;54
2422;6;11;8;3;9;4;2;5;1;2;5;7;63
2539;4;12;13;4;9;3;3;3;1;2;3;8;65
2614;6;13;8;2;10;7;2;4;0;4;5;8;69
9390;8;10;9;5;7;10;5;8;4;1;3;11;81
9434;3;6;10;2;7;9;3;5;7;2;1;6;61
