Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;;;;;;;;;;;7;;
1387E;9;7;5;3;14;8;9;4;5;3;5;4;76
1428;12;14;13;2;14;7;9;5;7;4;8;11;106
8175;7;5;3;4;2;0;0;3;0;1;5;6;36
8019;7;2;3;5;4;2;1;4;2;2;3;1;36
6325O;5;6;3;6;3;2;1;2;0;0;5;2;35
9091O;10;13;9;6;12;9;11;8;9;7;12;19;125
1212E;14;12;14;8;12;18;18;15;11;9;13;13;157
1208H;10;10;14;6;;;;;;;14;11;
1249I;13;13;15;7;17;21;15;16;9;11;15;16;168
4452;6;3;5;3;5;0;0;2;0;3;3;4;34
B954;7;7;4;2;2;1;1;6;1;2;;2;
B893;11;8;3;;3;1;3;2;5;3;3;9;
B228;8;7;;;;;;;;;1;3;
B278;6;8;2;3;1;0;0;4;2;4;4;5;39
0200E;9;8;7;4;5;6;1;2;10;4;3;2;61
0076;8;5;4;4;2;2;0;1;3;2;2;2;35
1082;11;13;16;8;14;14;14;13;13;13;11;19;159
2331;7;11;11;3;9;3;1;2;1;3;4;13;68
3469A;9;9;11;5;13;0;1;1;1;;;;
5960;0;;5;4;2;0;0;0;1;1;1;6;
5910;1;11;5;4;5;0;0;1;1;3;3;2;36
1111;9;9;13;5;9;14;13;12;10;9;8;15;126
1109;9;9;17;7;12;15;12;14;13;11;9;17;145
5402;;;;;;;;;1;;;;
8096;9;13;8;8;9;5;2;6;1;1;3;7;72
1014;9;11;16;8;11;14;15;12;10;11;10;15;142
1024E;10;14;16;9;15;18;15;14;10;11;11;19;162
0367;7;9;4;5;7;2;;5;;4;3;5;
5530E;4;12;8;6;5;0;1;2;2;2;3;6;51
5514;5;11;6;4;4;0;0;2;0;2;4;6;44
9170;8;9;6;4;10;3;3;2;3;4;8;10;70
C249I;3;1;2;0;0;0;1;0;2;1;2;5;17
C649I;1;0;1;0;2;2;0;0;2;3;4;3;18
C029O;3;1;3;0;2;2;0;0;3;2;2;3;21
2661;;;;;;;;2;3;3;5;7;
9771C;9;8;4;3;1;2;1;3;2;3;2;8;46
3191E;;11;9;3;5;2;2;2;1;2;6;5;
3129;6;11;6;5;6;1;1;2;1;4;3;5;51
3196;8;11;5;4;5;3;1;2;1;4;5;5;54
3200;6;9;8;3;4;1;1;2;0;2;4;6;46
3195;8;10;7;5;;2;1;2;1;2;3;4;
3175;6;10;9;4;6;1;1;2;0;3;1;3;46
2462;13;;14;6;10;4;2;3;1;6;10;15;
6155A;1;7;2;4;3;1;1;3;1;1;2;2;28
6000A;5;10;6;13;14;3;4;9;2;1;2;3;72
7178I;3;4;5;5;4;1;1;5;3;2;4;1;38
7228;3;8;5;5;2;2;1;4;4;1;4;1;40
9263D;9;12;11;4;7;4;5;3;9;5;10;16;95
1484C;10;11;13;5;11;4;4;3;6;3;6;12;88
1495;9;12;13;3;14;4;6;4;5;4;7;12;93
2867;7;8;9;4;8;4;2;1;1;2;5;9;60
C929I;3;0;2;2;1;2;0;2;1;4;3;1;21
C139E;5;3;3;2;2;3;0;1;4;2;4;5;34
C449C;3;;;;6;1;;;;8;1;5;
C447A;9;;;;;6;5;6;5;8;3;5;
C429I;2;0;0;0;3;3;0;0;2;1;2;0;13
5796;2;10;5;4;4;0;0;0;1;0;2;3;31
5783;2;11;7;3;5;0;0;0;0;1;3;4;36
0016A;2;7;3;;2;2;1;3;5;3;1;1;
9981A;7;6;3;3;1;1;2;4;4;4;1;1;37
8414A;5;4;5;5;3;1;1;3;2;3;3;1;36
2422;8;10;6;2;3;2;1;2;1;2;3;10;50
2539;8;13;10;3;10;3;2;1;1;4;5;11;71
9390;9;4;7;4;11;3;1;4;4;2;3;6;58
9434;5;8;8;3;5;2;1;1;2;2;2;5;44
