Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;16.6(27);24.0(02);22.2(01);7.6(29);13.2(10);8.0(27);5.2(27);9.4(27);6.8(21);6.2(20);20.0(24);52.6(10);52.6(10/dic)
1387E;13.7(27);28.2(03);22.5(23);9.2(29);15.1(10);12.0(27);1.5(19);8.1(27);6.0(17);8.3(16);21.6(24);58.3(10);58.3(10/dic)
1428;14.1(26);62.2(03);18.8(31);12.1(29);30.5(10);13.0(27);3.0(21);4.3(27);5.6(17);13.7(16);23.3(22);104.1(10);104.1(10/dic)
8175;17.6(19);14.6(18);40.7(13);6.0(26);1.6(29);9.0(04);22.1(07);3.1(09);1.0(01);16.0(18);12.0(28);13.4(15);40.7(13/mar)
8178D;19.4(19);18.3(18);43.7(13);7.3(26);8.1(29);1.8(04);32.1(07);3.4(25);1.7(06);7.7(18);11.9(28);14.8(15);43.7(13/mar)
8025;54.8(19);3.0(13);112.2(13);4.4(27);0.0(--);0.2(27);4.4(01);48.9(29);31.0(15);14.8(07);2.6(08);0.4(11);112.2(13/mar)
8019;76.1(19);3.4(22);58.4(13);2.4(27);0.1(29);0.8(27);8.1(07);42.6(29);17.5(15);14.6(07);4.7(29);0.3(18);76.1(19/ene)
6325O;11.8(27);0.2(12);38.4(13);7.0(28);0.0(--);0.0(--);0.0(--);26.7(29);0.0(--);28.7(18);12.2(30);0.9(11);38.4(13/mar)
9091O;26.1(13);12.8(05);12.8(25);4.3(30);18.6(17);22.8(19);20.1(09);9.7(28);5.6(17);18.1(18);18.0(30);38.4(01);38.4(01/dic)
1212E;15.4(16);24.4(04);16.8(12);22.6(25);16.7(17);20.7(29);4.9(23);21.1(30);18.7(15);3.6(29);24.2(24);56.8(10);56.8(10/dic)
1208H;11.7(16);22.4(03);12.8(12);16.3(25);18.5(17);17.9(27);8.8(31);19.0(30);31.9(15);5.6(29);27.5(29);66.5(10);66.5(10/dic)
1249I;14.9(16);19.3(04);24.7(12);15.6(25);24.3(10);18.1(29);5.6(31);23.2(27);11.1(15);6.0(18);27.9(04);43.9(10);43.9(10/dic)
2444;1.0(29);51.0(12);5.6(22);8.8(24);10.2(10);2.0(02);51.2(07);46.0(27);0.0(--);5.4(18);9.4(03);9.4(10);51.2(07/jul)
4452;15.0(26);29.6(12);11.8(03);3.8(28);4.2(10);1.8(25);14.8(07);6.0(29);0.0(--);4.6(16);21.2(28);22.4(10);29.6(12/feb)
B954;21.4(27);5.3(24);3.9(24);1.4(27);0.1(11);13.8(04);0.0(--);32.2(09);34.3(07);20.7(18);9.6(04);4.0(01);34.3(07/sep)
B893;54.4(21);17.2(07);26.7(24);10.8(01);0.2(30);12.9(28);9.5(01);10.5(31);16.1(10);6.1(19);13.2(05);24.3(01);54.4(21/ene)
B228;48.1(20);7.3(08);38.7(24);7.1(27);1.8(30);27.4(04);8.6(25);5.4(09);71.1(15);19.3(19);9.2(28);12.6(01);71.1(15/sep)
B278;50.6(21);7.0(08);35.4(24);4.1(27);3.6(30);29.3(05);0.8(25);7.7(09);43.3(07);15.0(18);10.9(28);9.2(01);50.6(21/ene)
0200E;20.2(27);16.1(13);115.1(24);22.4(26);15.1(11);19.6(04);5.5(23);5.8(08);14.9(09);75.7(19);7.9(25);1.6(11);115.1(24/mar)
0076;18.6(27);11.1(07);64.7(24);24.9(26);12.0(11);;2.8(23);11.4(31);15.6(30);;4.9(04);1.1(11);
1082;65.6(10);26.6(05);29.0(25);16.9(25);13.5(17);29.7(30);10.5(01);19.0(30);27.8(09);10.8(29);42.2(30);31.2(10);65.6(10/ene)
2331;2.0(14);9.6(04);6.8(12);6.8(30);14.8(17);31.8(19);3.6(06);14.6(28);2.8(09);11.0(18);14.6(24);13.2(10);31.8(19/jun)
3469A;13.2(26);42.6(12);10.6(27);3.0(28);20.6(11);3.6(17);4.4(07);5.7(28);0.0(--);3.8(17);11.0(02);22.0(10);42.6(12/feb)
5973;8.8(26);29.1(12);12.1(25);17.8(28);28.3(10);0.0(--);0.4(05);12.9(28);0.4(27);31.3(17);74.4(03);8.2(10);74.4(03/nov)
5960;14.0(26);17.7(12);17.1(03);19.1(27);18.4(09);0.1(22);1.0(05);8.0(28);0.9(27);78.0(17);16.4(03);15.1(10);78.0(17/oct)
5910;18.8(26);28.7(12);15.2(03);23.4(27);24.3(10);0.0(--);1.3(05);2.2(28);0.7(26);11.2(18);25.8(28);11.4(25);28.7(12/feb)
6001;;32.7(12);9.9(24);47.1(28);;0.0(--);0.1(06);0.9(29);;22.0(18);;31.7(11);
1111;11.1(10);11.9(04);24.0(25);12.9(25);33.9(17);20.3(27);9.3(19);18.2(07);50.8(15);4.8(01);25.9(28);32.7(11);50.8(15/sep)
