Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;17600;21990;38386;64510;61828;68494;67580;62634;44750;39435;20669;14759;522635
1387E;15233;19342;34736;57790;56796;;61772;59131;;36809;18153;13173;
1428;18116;;36390;61537;57557;65744;64785;61020;42434;37731;20015;13827;
8178D;25697;32047;56527;66180;83034;86290;85578;71568;62854;48140;33708;24587;676210
8019;26121;33091;54552;64264;84024;86815;84608;;59743;45889;31826;26390;
6325O;30368;36247;58613;;84358;;;;;49480;33963;30126;
B954;24152;33011;59020;55742;77429;;82521;66737;56508;43046;;22626;
B228;24106;31119;57720;67997;83754;84741;;70001;53669;42766;28548;;
B278;20388;27762;53360;65008;78001;80318;78554;65642;49512;38263;24686;19040;600534
0076;20258;28950;52023;63077;78262;;79599;65854;49912;38791;27623;;
1082;18001;22563;36008;53755;62014;53433;56949;52391;41912;30430;18579;12191;458226
3469A;28075;28920;50488;69587;72199;80068;84528;74943;60756;44551;29796;23374;647285
5973;36171;29008;55878;67827;82409;88790;86288;77620;64806;50433;36791;30657;706678
5960;33746;28474;53111;62536;76879;85696;;73830;62833;;;;
1111;21097;25080;37147;62612;67951;55318;61104;56289;44525;33282;22087;14314;500806
4121;;27147;48006;67117;77634;82929;87003;74531;61907;46930;31329;24436;
5402;30998;;48570;64432;77925;86606;84952;73907;61649;45660;31635;25347;
1024E;17150;21639;34133;56182;;51875;53642;51817;;29110;17940;11933;
0367;21301;26812;;61978;70226;60053;70825;61901;42353;39637;25374;17671;
5530E;31260;30606;56792;69826;79483;;88948;77153;64645;48165;32509;26064;
5514;33566;32747;56470;70829;82587;;;74910;64984;;34722;27735;
4642E;31880;28363;51203;;79714;;;79153;64259;;33984;28910;
9170;20470;24986;46294;65830;67555;70927;77811;64998;48815;38156;22249;15982;564073
C249I;;47822;64196;76394;82564;81862;85045;83008;62397;58043;;40376;
C649I;42349;;61663;71911;77634;80602;84645;79850;65939;52917;43564;38680;
C029O;40561;45328;60781;73694;67142;79820;;80717;62664;50572;41235;34670;
2661;22319;27443;45626;72568;66652;76876;85089;73920;59477;;28069;19326;
1549;19170;24540;40568;65201;61468;73252;82509;69871;54534;40390;25117;13897;570517
9771C;20162;24487;51077;67984;78759;79769;;67171;;;28546;17624;
3129;26880;29294;52390;71788;76881;86806;;78951;61452;46578;30542;22526;
2462;21963;26128;;;;74891;86930;73256;59077;45011;23859;16535;
7178I;28187;33558;56120;63535;84013;86945;84818;67934;59635;46690;32129;27851;671415
9263D;18462;23627;;62852;;67942;74648;62756;47135;34281;19220;13647;
1495;;;31050;55240;51634;65708;66485;62588;39251;;;10449;
2867;26969;31805;50900;71372;74108;80535;87567;76320;63956;45730;29912;18749;657923
C430E;52122;55623;78020;83664;99224;96931;100293;89851;73676;62398;46377;48186;886365
C449C;39452;43325;62069;74107;77712;79763;85977;80249;67981;52332;40338;31291;734596
C447A;35405;38483;61096;72205;66201;;82163;80405;61823;50921;37080;30227;
C429I;43906;47521;66825;72194;77517;84028;88902;80592;64546;55159;42270;41983;765443
5783;30850;25820;49082;59075;75372;84506;84753;74642;61050;46402;32714;27045;651311
2030;24018;27173;47848;69547;;74679;83819;70491;56672;43817;26326;19052;
0016A;24278;30405;52434;64413;;77842;75739;64938;52426;40419;30040;22618;
9981A;23909;29609;53425;66061;78623;78719;76989;65488;52762;43107;31403;22600;622695
8368U;24058;30268;;;72989;77374;78814;;55410;44291;29827;22026;
3260B;26630;27832;48932;70650;78285;83580;87877;74764;;;31240;24100;
8414A;25155;30039;55190;61954;81258;81488;80432;64610;54006;;30609;;
2422;24841;27576;46005;72304;73156;78474;87404;;62949;44889;30351;17969;
