Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;9.9;11.3;12.8;15.3;18.4;21.1;22.1;21.9;20.0;18.3;13.7;;
9091O;4.5;7.9;11.2;14.1;17.3;;22.9;24.0;19.3;;9.9;6.5;
2444;;;8.0;;17.4;;;;18.5;;;;
4452;7.9;11.4;14.0;20.4;23.4;28.7;29.1;29.6;26.5;22.4;13.4;8.7;19.6
0200E;;8.3;10.9;15.0;20.1;26.4;27.5;26.7;;17.1;10.1;6.6;
2331;2.0;5.7;8.5;14.5;17.9;24.3;26.9;27.3;20.5;17.1;7.9;3.9;14.7
3469A;8.1;10.7;13.2;19.1;22.3;29.6;30.8;31.3;27.0;23.2;;8.9;
8096;5.0;7.9;12.3;;;28.2;;29.3;;19.4;11.2;5.5;
1024E;;8.1;10.2;13.2;;20.7;21.3;;;15.7;;;
4642E;11.8;13.6;16.0;20.9;24.2;30.8;32.3;33.1;30.1;25.7;18.3;12.7;22.5
1549;5.8;8.9;11.9;18.5;19.8;26.1;27.6;27.2;22.6;18.8;11.1;7.1;17.1
9771C;6.0;8.9;11.8;14.7;20.4;26.2;28.4;28.6;23.6;20.0;;6.5;
2462;0.4;0.2;2.4;;10.7;17.1;19.0;;;12.3;;1.0;
7178I;9.7;12.8;16.2;21.8;27.0;32.4;34.2;33.6;28.9;24.8;16.8;11.4;22.5
1690A;7.4;10.3;12.5;17.4;20.9;26.2;29.3;29.6;23.1;19.4;11.7;9.1;18.1
1484C;9.0;11.1;12.8;15.4;18.1;21.1;21.9;22.3;20.0;18.1;13.2;9.9;16.1
2867;4.9;8.5;11.8;18.6;21.7;28.8;29.0;29.5;23.8;19.5;10.3;5.9;17.7
2422;4.6;10.3;14.9;22.1;24.5;30.9;30.1;30.1;24.8;19.7;9.9;5.0;18.9
2539;2.9;6.6;9.6;15.8;19.5;27.6;27.2;26.4;20.8;16.8;7.4;4.5;15.4
