Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;2.2(20);5.1(08);4.1(22);6.4(27);9.2(01);12.0(07);14.5(11);14.3(12);12.0(16);9.1(23);4.6(30);4.9(17);2.2(20/ene)
1387E;-3.8(20);1.3(08);2.1(25);0.9(27);5.8(01);8.4(07);11.0(11);9.9(11);8.3(02);4.6(23);-0.4(26);-0.2(03);-3.8(20/ene)
1428;-3.0(20);-1.3(08);0.2(23);1.6(28);3.6(01);7.3(05);9.1(01);9.4(01);5.6(16);4.1(23);-2.8(28);-2.3(17);-3.0(20/ene)
8175;-10.2(18);-0.8(09);-1.8(24);0.8(03);5.4(02);10.9(05);11.0(01);14.8(10);7.7(20);3.5(30);-3.6(15);-6.6(04);-10.2(18/ene)
8178D;-7.4(18);-0.2(09);-0.9(24);1.9(21);5.9(01);10.7(05);11.5(01);15.3(10);9.1(17);5.7(30);-1.7(15);-4.6(05);-7.4(18/ene)
8025;0.6(18);5.7(21);5.4(25);8.2(03);10.8(02);16.9(02);;17.5(10);15.8(21);10.8(27);4.1(30);0.9(05);
8019;0.0(18);;5.1(25);8.5(07);;16.5(02);16.0(02);;16.5(24);12.0(25);5.4(30);2.2(18);
6325O;5.7(21);7.3(09);6.9(25);10.0(04);12.1(03);17.0(29);16.7(01);18.0(29);16.3(18);14.6(28);8.9(22);5.2(04);5.2(04/dic)
9091O;-8.5(07);-2.0(25);-3.5(24);-3.4(28);-1.6(01);5.8(07);7.5(03);6.4(12);3.5(17);0.4(08);-3.6(21);-5.6(03);-8.5(07/ene)
1212E;-1.1(20);;2.4(24);1.2(28);6.8(01);9.6(05);;11.8(13);9.7(16);8.0(31);2.7(14);2.8(20);
1208H;1.9(20);5.8(25);4.8(23);5.2(27);9.2(01);12.0(05);13.5(01);14.3(12);11.7(16);10.2(23);4.7(30);5.0(02);1.9(20/ene)
1249I;-2.3(20);2.4(09);2.0(23);1.0(28);5.7(01);8.5(05);10.2(01);11.4(11);8.4(16);6.0(31);1.4(27);1.1(06);-2.3(20/ene)
2444;-9.9(19);-2.4(09);-4.0(24);-0.8(27);0.2(01);6.2(30);6.4(01);5.9(10);4.6(17);2.0(22);-3.2(27);-6.5(02);-9.9(19/ene)
4452;-3.4(18);-0.1(09);2.9(24);5.8(03);6.2(01);11.5(30);12.8(21);14.1(11);10.2(17);6.2(30);1.2(21);-2.6(06);-3.4(18/ene)
B954;2.0(17);3.2(10);4.8(18);6.9(04);7.3(02);14.8(11);16.1(02);17.1(11);13.8(17);11.8(31);;1.4(04);
B893;1.4(17);;4.5(17);4.7(22);9.4(07);12.1(08);15.3(01);15.9(11);;11.1(08);6.0(08);2.0(02);
B228;2.5(17);6.0(08);7.4(05);8.1(29);10.2(02);16.1(06);19.1(03);19.9(10);14.8(17);13.6(23);6.3(30);4.2(02);2.5(17/ene)
B278;-0.6(08);1.9(21);1.7(18);2.7(29);5.0(02);12.7(06);15.0(03);16.5(11);11.6(17);9.4(23);1.5(30);-0.7(04);-0.7(04/dic)
0200E;-0.8(18);4.2(06);1.6(25);4.4(27);7.8(01);13.0(30);13.4(01);13.8(10);10.3(16);10.6(29);3.3(30);-0.4(02);-0.8(18/ene)
0076;;4.3(09);;6.3(28);;16.4(30);18.1(02);17.0(10);12.0(16);12.4(30);3.6(30);;
1082;-4.1(07);2.0(11);1.0(24);1.0(27);2.8(01);11.4(05);12.6(03);11.1(12);8.6(20);7.0(31);1.3(15);-0.2(06);-4.1(07/ene)
2331;-9.8(01);-4.2(25);-2.0(24);-4.4(28);-0.8(01);4.9(05);4.0(02);6.5(09);0.5(17);-0.3(08);-4.8(27);-7.2(06);-9.8(01/ene)
3469A;-3.7(01);0.0(09);2.4(24);5.3(03);5.1(01);11.6(30);13.0(01);14.0(30);10.6(17);7.6(22);1.6(30);-1.6(03);-3.7(01/ene)
5973;2.4(19);6.1(09);8.8(24);12.4(02);13.0(01);18.3(30);20.1(01);19.2(29);18.2(16);;9.3(30);4.7(04);
5960;-2.7(19);-1.0(09);1.1(24);5.7(05);7.9(02);11.4(05);12.5(01);13.4(09);8.9(18);10.1(25);2.4(21);-1.1(04);-2.7(19/ene)
5910;-1.5(19);2.0(09);4.2(24);8.9(03);10.0(01);15.2(04);16.5(07);15.8(10);12.9(17);12.6(28);6.4(15);1.8(04);-1.5(19/ene)
6001;;;7.8(23);10.8(02);;16.6(07);;18.9(30);;16.2(21);;4.2(03);
1111;1.3(26);5.4(09);5.0(23);5.6(28);9.0(01);12.0(05);13.4(01);14.0(12);11.0(16);10.6(31);5.0(30);5.5(06);1.3(26/ene)
1109;-2.0(07);2.0(09);3.5(24);4.0(28);8.0(01);11.0(05);13.7(01);12.9(12);10.0(20);8.0(24);2.6(20);0.6(06);-2.0(07/ene)
8500A;1.3(18);5.5(10);6.6(25);6.8(21);10.1(02);15.5(05);18.1(02);15.7(10);12.9(16);11.9(30);4.7(30);3.3(04);1.3(18/ene)
5000C;4.6(19);9.1(10);7.1(24);13.0(13);14.6(01);16.6(30);18.2(22);19.1(29);16.3(17);16.5(30);11.0(30);8.3(03);4.6(19/ene)
4121;-4.7(18);-0.9(09);-0.6(25);4.4(04);5.0(01);11.9(30);13.7(02);14.6(10);10.1(17);6.3(29);-0.6(27);-4.2(06);-4.7(18/ene)
5402;-2.9(18);1.1(09);;5.1(02);6.9(01);13.9(06);15.2(02);;11.0(16);8.6(30);2.0(10);-1.6(03);
8096;-8.3(18);-1.8(09);-2.2(24);0.0(03);2.9(01);8.6(05);9.5(02);10.4(10);6.0(17);3.3(30);-4.3(27);-5.2(06);-8.3(18/ene)
1014;-3.4(20);2.7(09);3.6(23);4.4(29);7.8(01);13.3(05);13.8(01);13.9(12);9.4(20);5.1(31);2.2(15);-1.0(03);-3.4(20/ene)
1024E;-2.9(18);3.5(09);3.2(23);4.0(20);6.9(01);10.7(03);11.6(01);12.5(12);8.3(20);6.3(31);2.0(30);-0.5(03);-2.9(18/ene)
0367;-6.0(17);-2.0(09);;;4.4(01);10.9(30);11.5(01);13.9(11);6.9(16);6.3(30);-3.8(15);-5.2(04);
5530E;-5.9(18);-3.1(09);-2.0(25);1.9(02);6.6(19);12.0(06);10.0(01);12.6(09);6.6(17);5.7(28);-0.9(23);-4.7(04);-5.9(18/ene)
5514;-7.0(18);-2.5(09);-1.5(24);1.6(02);8.3(14);12.4(06);11.9(01);14.8(29);8.6(17);7.5(30);0.4(21);-2.8(04);-7.0(18/ene)
3013;-13.4(18);-6.0(21);-3.1(18);;-0.3(01);5.3(30);4.8(02);3.6(10);-0.5(17);-2.8(29);-11.0(27);-12.5(06);
4642E;0.0(25);3.2(09);2.7(24);8.8(04);8.7(01);13.9(04);15.2(21);16.2(09);12.9(17);12.2(25);5.3(15);1.5(18);0.0(25/ene)
9898;-6.9(18);-0.6(09);1.3(25);-0.1(28);2.5(01);8.1(07);10.2(01);10.3(10);5.5(16);4.7(29);-2.3(30);-3.3(03);-6.9(18/ene)
5270B;-3.5(18);4.9(10);1.4(23);7.8(02);8.1(01);13.4(30);15.7(22);15.9(30);13.0(17);11.6(19);3.9(30);0.6(02);-3.5(18/ene)
9170;-7.5(26);0.6(27);0.7(01);-0.4(29);2.7(01);11.0(07);11.4(02);11.0(12);5.6(20);3.9(31);-3.5(22);-4.2(06);-7.5(26/ene)
C249I;;11.4(13);11.6(26);14.7(10);;18.9(05);;20.8(14);19.4(28);18.5(05);14.3(23);13.1(23);
C649I;12.4(26);;;14.7(09);;;18.7(03);;;18.1(30);16.5(23);13.6(24);
C029O;10.2(26);10.6(07);10.6(26);14.3(15);15.1(04);18.3(05);19.5(02);19.6(15);18.5(19);16.4(31);14.3(23);11.4(24);10.2(26/ene)
2661;-8.8(19);-2.4(09);-4.4(23);-5.2(27);-0.2(01);4.2(05);6.6(01);5.5(10);3.3(16);2.4(31);-4.6(28);-7.7(06);-8.8(19/ene)
1549;-7.9(19);-0.9(09);0.5(24);-1.3(27);2.9(01);7.4(05);8.3(01);7.0(10);5.3(16);2.6(22);-3.8(30);-5.1(06);-7.9(19/ene)
9771C;-7.1(18);0.1(22);1.6(01);1.3(28);4.7(01);11.2(07);12.1(02);10.8(10);7.4(16);4.8(31);-3.8(30);-6.3(06);-7.1(18/ene)
1505;-6.3(25);-1.6(08);0.5(22);-2.3(27);3.3(02);5.3(07);6.3(21);6.8(11);2.9(16);2.3(23);-3.8(28);-5.9(06);-6.3(25/ene)
3191E;-6.3(18);-0.4(09);-3.0(23);0.6(28);1.7(01);7.5(30);9.0(01);8.7(10);6.7(16);6.1(19);-0.6(26);-1.4(02);-6.3(18/ene)
3129;-5.0(25);-2.0(09);-0.7(23);1.2(04);2.6(01);10.4(30);11.8(01);11.5(10);5.9(17);5.1(29);-3.5(27);-5.6(06);-5.6(06/dic)
3196;-3.0(18);0.5(09);-2.0(23);3.4(27);4.4(01);10.6(05);12.0(01);12.4(10);9.4(16);7.2(19);-0.5(30);-2.8(03);-3.0(18/ene)
