Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;17.1(03);16.8(15);18.7(09);24.7(18);23.9(19);29.0(23);25.9(09);29.8(05);31.9(02);26.1(13);21.9(16);18.3(04);31.9(02/sep)
1387E;18.0(03);17.7(25);18.7(09);26.0(18);26.7(19);30.9(23);31.9(09);32.0(02);34.1(02);27.6(04);21.9(15);18.3(04);34.1(02/sep)
1428;16.6(29);17.1(26);15.5(09);25.7(20);27.5(07);33.4(23);30.8(09);36.2(03);33.3(02);29.4(03);19.4(15);16.6(31);36.2(03/ago)
8175;19.6(24);17.2(26);23.4(28);25.8(27);27.5(23);35.2(24);37.0(31);40.7(03);34.2(02);28.3(06);19.7(11);21.1(05);40.7(03/ago)
8178D;20.2(24);18.0(26);23.2(28);25.9(27);27.8(23);36.7(24);38.0(31);40.5(03);35.6(02);29.0(01);20.7(11);21.9(05);40.5(03/ago)
8025;25.7(21);21.4(11);28.0(28);26.8(15);27.4(31);31.3(22);36.4(16);36.4(05);31.9(24);28.5(12);23.9(11);23.7(03);36.4(16/jul)
8019;25.5(22);21.4(20);27.1(28);26.5(15);28.9(31);31.5(27);;37.3(05);32.8(23);28.8(12);;;
6325O;20.5(18);20.6(27);23.5(10);30.6(23);32.1(24);36.7(23);36.3(17);39.2(01);;29.3(13);23.5(14);22.9(10);
9091O;16.5(03);17.4(16);18.5(28);26.2(24);25.5(07);31.6(26);31.4(30);35.8(06);32.4(02);26.5(05);18.7(15);16.7(05);35.8(06/ago)
1212E;20.0(02);19.8(14);;22.5(18);;25.7(24);;27.7(28);29.5(27);29.7(12);22.7(17);20.0(15);
1208H;21.2(02);21.3(14);22.6(09);20.4(03);21.2(24);23.1(29);25.7(30);26.4(05);26.0(27);29.5(13);23.3(17);20.8(21);29.5(13/oct)
1249I;19.8(02);19.9(14);21.4(09);25.1(21);22.2(07);28.8(24);27.5(23);31.9(06);29.1(27);27.7(13);19.8(16);19.8(15);31.9(06/ago)
2444;15.4(24);14.8(16);18.8(28);24.0(25);23.2(23);33.4(24);32.0(31);36.2(02);32.9(02);26.1(05);16.7(04);18.3(04);36.2(02/ago)
4452;19.0(19);20.4(16);24.8(27);29.7(25);30.9(17);38.5(17);36.1(09);44.7(03);40.4(01);32.9(04);21.2(17);19.4(06);44.7(03/ago)
B954;22.2(04);18.0(17);21.7(29);23.0(24);25.7(31);30.5(22);33.1(16);37.0(05);30.4(13);27.2(04);21.7(12);21.2(06);37.0(05/ago)
B893;21.2(04);20.1(17);20.2(28);25.2(24);24.9(25);30.6(28);33.7(09);35.5(04);;27.0(11);22.5(13);21.6(04);
B228;22.7(04);18.9(17);22.5(28);26.8(23);27.5(24);33.3(30);34.8(14);37.4(05);31.1(17);28.2(01);24.5(13);23.1(09);37.4(05/ago)
B278;22.0(04);17.5(17);23.5(29);26.9(23);28.5(24);33.5(30);35.7(14);38.7(05);32.5(03);28.9(01);23.6(13);22.1(04);38.7(05/ago)
0200E;19.8(04);16.8(15);19.9(10);25.1(25);25.3(24);30.2(30);33.6(31);37.2(04);30.4(20);25.6(04);21.4(11);19.0(05);37.2(04/ago)
0076;23.8(21);17.0(15);20.5(12);25.5(25);25.2(25);;31.7(31);37.0(04);29.7(20);26.0(03);21.7(11);20.3(22);
1082;21.1(04);21.2(15);20.7(10);30.5(18);24.1(06);29.8(24);30.9(23);38.8(06);36.3(17);30.0(13);23.6(15);20.4(04);38.8(06/ago)
2331;13.9(03);13.0(25);16.4(27);24.8(18);24.1(07);31.4(26);32.8(26);36.7(06);32.7(02);26.7(05);17.1(04);15.3(05);36.7(06/ago)
3469A;17.4(20);18.3(16);22.1(27);27.9(25);29.0(17);37.6(24);35.4(31);42.4(03);37.9(01);31.0(04);19.6(02);18.7(05);42.4(03/ago)
5973;18.4(24);19.6(20);20.3(28);23.5(23);26.8(15);30.7(17);30.9(07);34.8(03);33.5(24);29.1(04);20.8(03);21.3(09);34.8(03/ago)
5960;20.2(18);22.3(16);25.1(28);27.1(18);29.7(15);37.6(18);38.6(31);;39.5(24);33.7(02);23.8(11);;
5910;19.4(18);21.5(20);22.5(28);25.9(18);27.9(15);34.0(17);32.5(07);39.4(06);36.9(24);31.7(04);22.5(14);22.8(10);39.4(06/ago)
6001;19.1(17);19.9(20);;;;26.3(24);;30.6(24);27.6(02);25.5(02);;18.8(06);
1111;20.2(04);19.2(15);20.0(01);25.5(06);19.8(24);22.4(30);25.5(25);28.4(06);29.0(17);29.5(13);22.2(15);20.7(22);29.5(13/oct)
1109;19.7(04);20.5(15);20.4(01);27.7(21);22.6(22);25.5(24);27.7(09);32.5(06);34.0(17);31.1(13);23.4(15);20.8(22);34.0(17/sep)
8500A;25.7(04);21.5(15);26.7(28);26.0(23);25.9(27);32.5(21);35.6(16);36.2(04);31.3(01);28.0(01);21.3(11);22.2(09);36.2(04/ago)
5000C;22.7(02);20.7(28);23.7(28);23.7(27);25.9(31);31.1(14);33.7(28);34.4(13);29.6(03);30.8(07);22.2(03);24.1(08);34.4(13/ago)
4121;18.0(21);17.8(26);23.5(28);27.3(25);30.0(24);39.1(24);36.8(23);40.5(03);36.6(02);29.9(05);18.9(16);18.3(05);40.5(03/ago)
5402;21.6(23);22.9(16);25.4(28);29.8(24);31.1(16);40.0(18);40.5(31);45.1(04);41.0(02);34.0(01);22.7(16);23.8(06);45.1(04/ago)
8096;18.9(23);18.1(16);21.2(28);26.0(25);26.0(23);35.8(25);35.4(31);38.6(03);34.2(02);28.1(03);19.1(13);21.5(04);38.6(03/ago)
1014;21.0(04);19.9(15);20.5(10);30.0(18);27.6(11);31.4(30);29.4(23);32.3(03);34.5(17);29.7(13);23.6(15);19.0(21);34.5(17/sep)
1024E;18.4(04);18.8(15);18.5(10);28.0(18);25.0(11);29.5(30);25.5(23);32.0(06);31.6(17);27.1(05);20.8(15);18.0(22);32.0(06/ago)
0367;;19.9(15);23.0(10);;26.8(29);;36.1(31);38.7(04);;28.5(03);;20.7(31);
