Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387E;16;13;20;24;17;9;15;12;16;16;19;20;197
1428;15;15;12;18;11;9;17;15;20;14;15;12;173
8175;23;14;25;22;29;14;6;21;25;23;23;22;247
8019;19;17;24;20;22;13;9;22;25;17;20;17;225
6325O;15;20;22;16;21;16;8;12;20;21;23;20;214
9091O;17;;15;12;19;16;23;21;24;16;21;18;
1212E;16;10;17;15;12;10;13;22;18;20;17;20;190
1208H;17;9;20;11;16;12;13;19;16;14;16;17;180
1249I;19;6;15;13;14;10;9;15;15;17;15;18;166
4452;15;14;21;23;22;19;12;11;17;17;21;22;214
B954;17;15;24;20;24;17;18;19;24;25;23;24;250
B893;19;13;21;19;22;22;17;27;25;22;22;26;255
B228;18;16;;;;;;;;;;;
B278;26;16;22;15;21;22;18;26;25;21;22;;
0200E;19;15;24;17;23;22;18;26;19;13;20;25;241
0076;18;16;26;18;21;23;22;25;22;15;22;26;254
1082;13;9;16;11;13;12;16;15;20;14;20;17;176
2331;9;11;14;14;22;19;24;17;21;16;16;15;198
5960;19;19;13;21;19;21;12;6;17;22;23;18;210
5910;20;17;15;20;20;20;12;11;20;15;21;15;206
1111;12;9;22;13;17;17;20;21;20;16;21;21;209
1109;13;9;21;13;13;13;16;18;16;13;16;15;176
5402;;;;20;21;16;4;7;15;;;;
8096;17;13;14;13;20;20;12;20;21;;;;
1014;11;11;17;11;12;16;23;16;19;19;18;16;189
1024E;12;9;14;11;11;15;19;19;21;13;15;17;176
0367;22;15;;14;18;21;22;;23;13;23;29;
5530E;;18;11;21;27;15;5;12;21;21;22;19;
5514;16;14;10;21;24;16;4;10;21;19;22;23;200
9170;14;14;21;18;17;19;18;19;21;16;23;21;221
C249I;30;27;26;24;26;29;18;22;20;24;26;21;293
C649I;23;22;25;26;27;25;20;15;25;26;29;17;280
C029O;23;24;;25;28;24;17;17;20;27;26;18;
2661;15;16;20;19;21;22;27;15;18;15;19;13;220
9771C;;13;25;15;27;18;15;18;15;17;21;;
3191E;14;15;16;13;24;16;17;20;23;10;;;
3195;12;16;;15;;18;12;16;20;15;17;18;
3129;17;16;17;15;25;16;14;19;15;13;21;15;203
3196;16;16;16;16;23;17;14;17;20;14;18;17;204
3200;17;16;22;18;28;20;15;18;22;16;22;18;232
3175;15;16;17;16;24;14;17;19;21;13;19;16;207
2462;9;3;8;14;21;17;20;21;22;10;12;17;174
6155A;20;16;19;21;19;19;2;12;17;17;;26;
6000A;16;21;24;14;23;13;10;22;21;19;20;24;227
7178I;17;19;23;18;28;13;9;22;23;19;23;22;236
7228;19;17;23;18;24;12;6;18;22;18;18;19;214
9263D;7;8;17;15;18;16;23;15;22;11;15;12;179
1484C;13;11;13;16;13;10;17;10;16;15;9;10;153
1495;11;11;11;12;13;11;17;12;14;16;10;12;150
2867;11;13;18;16;17;14;18;17;18;12;18;16;188
C929I;23;23;23;29;31;26;26;27;25;26;23;19;301
C139E;29;24;25;28;26;28;31;26;24;27;22;24;314
C449C;23;22;;;27;16;;9;14;28;22;15;
C447A;20;18;19;20;19;20;26;;24;25;;;
C429I;18;20;23;24;19;24;5;11;20;26;24;11;225
5796;18;19;16;23;23;20;4;;19;20;23;21;
5783;17;16;15;23;23;18;9;9;15;19;22;20;206
0016A;17;12;27;20;24;23;26;21;24;20;24;25;263
9981A;23;15;24;20;24;21;21;21;18;20;22;23;252
9381I;;;;16;;;16;21;;16;;21;
8414A;17;15;25;20;22;15;15;25;19;20;20;19;232
2422;9;16;21;14;22;23;25;14;17;16;22;12;211
2539;8;15;14;11;18;15;19;11;19;15;18;14;177
9390;19;10;17;22;19;17;16;16;21;17;21;22;217
9434;21;19;25;19;28;20;21;16;22;16;20;19;246
