Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;14982;22421;32560;50813;61487;57463;63725;68814;;;16763;14293;
1387E;;19867;28856;45847;57967;;;63758;46813;;14867;12497;
1428;12573;21546;24779;42270;56166;49250;55421;;50363;34564;14242;12448;
8178D;28309;33893;;58202;75163;81775;91186;76076;56840;41101;24746;25849;
8019;30715;32418;48773;62349;76761;79046;86050;71865;54199;41157;26318;27058;636709
6325O;;39461;51265;64069;80807;85932;87132;79446;56943;42491;31950;30937;
B954;28218;26678;48815;;70557;72565;82410;64938;49575;38385;26529;22338;
B228;26146;23494;48009;61234;71553;80596;86201;;;;;24806;
B278;23071;21137;43785;57636;66016;;79555;66550;46232;34735;21601;20985;
0076;24959;22736;47196;58989;70004;;82525;67309;49438;35293;20713;;
1082;12191;16761;34665;44203;50583;;57207;58409;46811;29546;;13974;
3469A;25756;36661;44460;58781;75442;74188;90112;78499;59976;42690;23580;23323;633468
5973;30593;39738;46930;64414;80620;80981;90222;78586;60741;45357;29223;31855;679260
5960;;34342;41506;61364;70125;74414;82413;;54379;51155;;26853;
1111;15693;19670;;46293;60845;61895;;64412;50606;35245;24387;16805;
4121;23882;33160;42191;57784;70885;75302;92647;78607;58010;40301;23845;22392;619006
5402;24692;33762;39454;56983;;;89821;74948;;39227;24247;;
1024E;13512;16851;32174;39942;;;;58177;48150;27537;17333;13354;
0367;;23449;45117;57000;70004;;70867;;44187;31633;;19961;
5530E;26528;34427;39867;58946;69074;85582;94514;76666;55240;40352;23267;28190;632653
5514;28585;36462;41060;58630;74500;84765;;78341;;42189;29175;;
4642E;29424;38782;45995;58711;77357;78728;90660;78318;60926;41088;27801;29100;656890
9170;20044;22348;42650;52065;61932;68280;78263;71676;;33400;19152;17807;
C249I;;;68619;75045;74800;79528;88237;78877;67961;54592;41650;42285;
C649I;38833;37830;64764;70146;74890;82548;85162;78594;69798;50871;41270;44114;738820
C029O;35042;42618;60251;69742;75117;69464;86324;71906;65505;51235;34979;37281;699464
2661;22087;30500;40602;53969;70579;75226;77340;78329;58510;38701;17707;16507;580057
1549;18364;27200;35147;53158;64725;67873;;76332;55983;37335;;;
9771C;22314;27837;47290;53504;69664;74958;81822;70331;52980;;;;
3129;25357;30386;43577;;71075;75092;92695;77171;60005;40268;23267;;
2462;19808;18489;29110;48224;;;86845;76707;50542;33121;15801;23636;
7178I;30913;35181;50717;63621;80475;83717;89032;74009;;41589;29225;29847;
9263D;13842;12454;;47893;56523;64460;73880;67832;53138;31469;15310;13127;
1495;;;;40119;58697;;55891;63035;;27330;10409;;
2867;20926;28122;43785;57513;71346;72657;87971;78525;58915;38861;20523;20178;599322
C430E;;51788;80959;85202;102707;101279;98213;92043;76897;58914;50209;50338;
C449C;;40016;63191;72075;72205;82137;88436;83112;68826;51890;38928;;
C447A;35204;35564;;60641;69599;76451;82921;;64918;34735;36543;40287;
C429I;47931;43076;65566;75575;;73309;;80824;68422;54848;;44245;
5783;26240;36944;;62217;72153;76830;88707;74957;60700;41285;26344;;
2030;22269;26556;41285;53364;66787;71197;84657;78002;58716;38363;20764;;
0016A;25988;25921;46513;57267;53849;77572;;66764;52612;39261;24672;23587;
9981A;25859;26515;39743;;;74545;82474;69048;51573;39354;;;
8368U;26589;26702;;56173;;;83722;;;;;;
3260B;;;;58022;74717;76413;91243;76685;59075;;23550;;
8414A;28041;30735;50235;61194;75123;80272;86206;69567;50486;38654;23149;;
2422;18807;28931;41493;54448;73524;73634;86016;80057;59947;38820;20231;16442;592350
