Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
9771C;9722(06);9723(28);9633(01);9666(11);9841(09);9842(30);9837(01);9869(07);9861(03);9698(29);9764(20);9808(13);9633(01/mar)
1505;9530(06);9327(28);9242(01);9438(10);9583(21);9555(30);9582(01);9615(06);9620(03);9437(30);9473(05);9532(12);9242(01/mar)
3191E;8818(06);8781(28);;8812(10);8970(09);8961(29);8990(01);8989(07);8991(03);8872(30);8872(20);8926(13);
3195;9195(07);9150(28);;9176(10);9332(09);9303(29);9340(01);9335(07);9337(03);9234(30);9236(20);9310(13);
3129;9289(06);9234(28);9164(01);9269(10);9412(09);9392(29);9436(01);9423(07);9425(03);9330(30);9331(05);9394(13);9164(01/mar)
3196;9172(06);9120(28);9050(01);9153(10);;9281(29);9325(01);9316(07);9314(03);9210(30);9215(20);9283(13);
3200;9249(06);9198(28);9124(01);9230(10);9373(09);9353(29);9399(01);9388(08);9387(03);9288(30);9292(20);9359(13);9124(01/mar)
3175;9253(06);9202(28);9131(01);9237(10);9380(09);9362(29);9405(01);9392(07);9395(03);9296(30);;9360(13);
2462;7899(07);7866(28);7804(01);7888(10);8062(01);8073(06);8093(01);8120(08);8117(04);7943(30);7956(20);8001(13);7804(01/mar)
6155A;9967(06);9975(28);9908(01);9992(10);10087(04);10065(28);10093(20);10089(07);;10008(30);10005(19);10117(13);
6000A;9919(06);9924(28);9882(01);9955(10);10038(04);10005(29);10041(22);10033(07);10051(03);9950(28);9953(18);10038(13);9882(01/mar)
7178I;9872(06);9882(28);9824(01);9893(10);10003(09);9997(30);10002(01);10021(13);10024(04);9917(27);9922(19);9987(13);9824(01/mar)
7228;9866(06);9881(28);9815(01);9882(10);9991(09);9984(30);9993(01);10012(13);10014(04);9906(27);9913(19);9978(13);9815(01/mar)
9263D;9461(07);9394(28);;9413(11);;9545(30);;9573(08);9601(03);9467(29);9468(20);9528(13);
1690A;9868(07);9660(28);9573(01);9777(10);9902(20);9881(30);;9928(27);9921(02);9781(30);9812(20);9880(13);
1484C;9915(06);;9625(01);9820(12);9965(21);9929(30);9948(01);9968(28);9959(03);9819(30);9858(05);9929(12);
1495;9749(06);9522(28);9465(01);9660(12);;;9787(01);;9800(03);9658(30);9690(05);9768(13);
2867;9085(07);;8898(01);9041(10);9165(05);9168(29);;9204(08);9202(03);9071(30);9090(20);9159(13);
2870;9129(07);9008(28);8931(01);9076(10);;9188(29);;9221(08);9218(03);9103(30);9123(20);9197(13);
C929I;10132(30);9965(23);10020(01);;10118(06);10097(30);10121(27);10095(13);10107(30);10050(09);10066(17);10111(04);
C430E;7598(30);7508(23);7510(01);7594(21);7627(05);7657(30);7672(01);7684(02);7679(07);7624(10);7592(17);7657(30);7508(23/feb)
C139E;;9938(25);;10057(02);10102(06);;10106(01);10085(22);10099(01);;10029(17);10098(04);
C449C;10115(06);9955(25);9993(01);10064(02);10103(06);10081(29);10100(27);10080(06);10094(01);10033(09);10043(17);10111(04);9955(25/feb)
C447A;9437(06);9299(23);9331(01);9401(02);9436(05);9428(29);9454(01);;9444(01);9390(09);9386(17);9458(04);
C429I;10060(06);9917(25);9955(01);10017(02);;10037(29);;10026(13);10050(30);9986(09);9996(17);;
2465;8833(07);8755(28);8688(01);8798(10);8973(09);8951(30);8981(01);8981(08);8981(03);8845(30);8861(20);8923(13);8688(01/mar)
5796;9899(06);;9782(01);9898(10);9984(16);9969(29);10009(17);;;9906(30);9903(18);10042(13);
5783;9968(06);9902(28);9832(01);9957(10);10048(16);10029(29);;10042(07);10066(02);9964(30);9963(18);;
2030;8733(06);8683(28);8617(01);8714(11);;8881(30);8901(01);8899(08);8909(03);8778(29);8766(20);8824(13);
0016A;9873(06);9882(28);9786(01);9817(11);9982(03);9998(30);10000(01);10024(07);;9825(29);9908(20);9939(13);
9981A;9884(06);9908(28);9815(01);9842(11);10019(09);10026(10);10024(01);10045(07);10044(03);9878(29);9938(20);9967(13);9815(01/mar)
9381I;8949(06);8919(28);;8914(11);9086(09);9083(30);9099(01);9109(08);9108(03);8985(29);8992(20);9032(13);
8368U;8919(06);8923(28);8848(01);8901(11);9062(09);9075(30);9086(01);9107(08);9100(03);8966(29);8979(20);9005(13);8848(01/mar)
3260B;9370(06);9304(28);9240(01);9345(10);9475(24);9461(29);9513(01);9500(08);9496(03);9394(30);9413(20);9476(13);9240(01/mar)
8414A;9873(06);9887(28);9809(01);9855(11);10001(09);;10004(01);10029(07);10029(03);9909(29);9927(19);9949(13);
2422;9145(07);9038(28);8955(01);9101(10);9257(21);9234(29);9268(01);9263(08);9260(03);9144(30);9146(20);;
2539;9021(07);8918(28);8837(01);8978(10);9139(21);9118(29);9151(01);9148(08);9147(03);9021(30);9023(20);9092(13);8837(01/mar)
2614;9240(07);9132(28);9032(01);9190(10);9339(21);9318(29);9352(01);9351(08);9346(03);9220(30);9234(20);9304(13);9032(01/mar)
9390;9082(06);9035(28);8971(01);9044(11);9208(09);9196(30);9216(01);9221(08);9226(03);9106(29);9114(20);9156(13);8971(01/mar)
9434;9680(06);9636(28);9537(01);9620(11);9787(09);9755(30);9775(01);9774(07);9795(03);9679(29);9693(20);9743(13);9537(01/mar)
