Indicativo;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
1387;4.1(06);1.9(28);2.6(22);6.4(10);7.7(01);11.8(03);15.5(06);13.7(10);14.1(11);7.0(28);6.5(25);6.0(30);1.9(28/feb)
1387E;0.4(30);-0.9(24);-2.0(22);3.1(11);2.8(01);9.5(16);12.6(21);9.7(10);10.8(25);4.2(08);2.2(13);0.0(31);-2.0(22/mar)
1428;-1.4(06);-2.1(08);-0.7(22);-0.6(11);1.3(01);8.9(04);10.8(21);9.6(10);9.9(20);1.7(28);-0.1(13);2.3(31);-2.1(08/feb)
8175;-4.2(09);-7.7(23);-3.1(22);0.6(01);0.1(01);9.6(14);13.4(03);14.2(20);8.0(29);1.0(29);-3.1(29);-5.3(31);-7.7(23/feb)
8178D;-1.4(09);-4.2(08);-2.2(22);2.7(14);2.0(01);10.4(07);15.9(06);15.6(20);10.2(29);1.0(29);-0.9(29);-3.0(31);-4.2(08/feb)
8025;3.3(09);2.2(24);5.0(22);8.2(11);8.6(02);13.6(07);19.9(07);19.5(16);14.9(29);7.2(30);4.6(29);4.6(30);2.2(24/feb)
8019;2.0(09);2.8(24);4.4(22);7.3(11);8.8(02);13.5(07);;20.9(20);15.6(29);6.6(30);;;
6325O;4.8(07);5.4(06);6.6(23);7.6(11);9.4(02);14.3(03);17.2(05);21.8(01);;9.2(30);6.2(29);6.8(23);
9091O;-3.4(31);-7.6(27);-2.8(23);0.2(01);-0.2(11);7.0(15);10.5(23);8.5(10);3.9(25);-0.6(30);-1.2(04);-3.6(31);-7.6(27/feb)
1212E;3.4(18);-2.2(28);;4.6(29);;11.5(10);;12.3(18);8.8(26);4.0(28);4.9(21);0.8(31);
1208H;5.7(29);0.0(28);4.2(02);6.7(29);6.6(01);13.4(05);14.9(21);15.1(10);11.6(26);4.8(28);7.4(21);5.7(31);0.0(28/feb)
1249I;2.4(07);-3.5(28);0.5(22);3.0(29);3.5(01);10.2(05);12.2(21);11.2(10);8.6(25);1.0(28);3.4(21);1.4(31);-3.5(28/feb)
2444;-11.4(09);-9.1(09);-4.0(22);-0.6(11);1.0(13);6.9(06);10.4(02);10.7(10);9.5(09);-1.1(28);-1.6(28);-3.0(30);-11.4(09/ene)
4452;-0.7(15);-2.0(23);2.1(07);5.0(05);6.4(02);10.4(01);13.8(28);15.1(10);15.6(30);3.7(29);1.2(29);-0.3(31);-2.0(23/feb)
B954;2.7(13);1.6(11);4.6(21);5.8(01);7.7(02);15.7(15);19.4(17);19.7(17);16.1(28);9.5(28);7.1(29);4.4(21);1.6(11/feb)
B893;3.1(30);2.0(09);2.2(20);6.4(01);8.5(15);14.8(04);17.9(07);18.1(10);;8.6(29);6.4(29);4.0(21);
B228;6.5(13);2.7(11);6.3(20);9.4(11);11.4(03);16.5(08);21.4(04);21.6(18);17.1(28);9.3(29);8.9(29);7.1(21);2.7(11/feb)
B278;0.7(13);-2.3(11);2.9(17);4.4(02);6.0(03);13.4(08);17.8(23);17.5(19);12.2(28);8.6(29);3.8(25);1.5(21);-2.3(11/feb)
0200E;2.8(09);-2.4(27);0.0(20);5.2(01);5.9(01);12.8(06);17.2(16);16.6(26);14.3(27);3.3(30);5.8(27);3.6(29);-2.4(27/feb)
0076;2.8(13);0.6(09);2.6(20);7.3(10);7.2(02);;20.1(23);19.1(18);15.8(27);5.4(30);5.6(27);3.9(30);
1082;1.4(28);-3.5(27);1.0(20);4.6(01);5.7(13);10.4(06);14.7(17);12.2(18);8.5(25);3.4(30);2.9(04);1.3(30);-3.5(27/feb)
2331;-5.3(08);-8.2(27);-2.4(19);0.3(30);-2.7(13);5.3(06);10.4(03);8.5(18);5.1(25);-0.3(29);-1.0(04);-3.9(27);-8.2(27/feb)
3469A;-0.2(15);-3.1(24);0.4(21);4.1(11);5.9(13);10.0(02);14.1(03);15.8(10);15.9(29);4.0(28);2.2(28);0.6(29);-3.1(24/feb)
5973;6.4(15);4.8(08);8.1(21);10.4(09);11.9(03);16.1(02);18.9(04);20.3(17);20.4(09);11.3(29);9.4(28);8.1(28);4.8(08/feb)
5960;0.4(07);-2.6(09);2.7(22);5.6(14);5.8(01);10.3(02);12.8(04);;15.1(06);4.2(29);3.2(28);;
5910;2.6(09);-0.3(07);5.3(22);7.5(01);8.0(02);13.0(16);16.1(24);17.7(17);17.6(06);9.9(28);5.4(28);4.4(28);-0.3(07/feb)
6001;4.1(15);3.4(03);;;;14.7(16);;17.3(17);17.7(07);8.9(29);;6.5(01);
1111;5.6(28);-0.8(28);3.0(19);7.6(30);7.2(13);12.4(05);15.6(23);16.0(18);11.0(26);4.5(30);6.1(21);5.0(30);-0.8(28/feb)
1109;2.4(28);-1.0(28);2.5(20);7.2(01);6.8(11);12.9(05);14.4(13);15.2(11);10.2(26);4.9(30);4.5(21);1.6(31);-1.0(28/feb)
8500A;4.0(14);2.0(08);5.0(22);7.6(10);8.4(02);15.2(07);20.7(23);19.5(19);16.9(30);7.4(29);7.5(24);5.2(30);2.0(08/feb)
5000C;7.3(08);6.4(04);8.4(20);9.6(09);11.9(01);16.1(16);18.4(17);19.6(16);19.2(07);9.9(28);10.9(27);11.1(06);6.4(04/feb)
4121;-2.1(09);-4.6(09);-0.2(22);2.9(01);2.8(01);10.1(10);15.3(03);17.0(27);11.0(30);2.4(28);-0.3(29);-1.4(31);-4.6(09/feb)
5402;-0.4(09);-3.1(09);0.5(22);4.6(14);5.0(02);12.8(12);16.3(03);16.5(10);16.7(10);4.6(29);3.3(29);0.0(31);-3.1(09/feb)
8096;-3.4(09);-6.4(08);-2.8(22);0.7(11);-0.3(01);8.8(07);12.1(05);13.2(24);9.8(29);-0.3(29);-1.4(29);-3.1(30);-6.4(08/feb)
