Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
6000A;S;3.96;2.93;2.58;2.76;2.48;1.23;0.55;0.82;2.44;3.06;3.10;2.69;8.81
6000A;Cv;0.63;0.53;0.57;0.60;0.89;1.78;1.64;1.07;1.12;0.78;0.53;0.47;0.20
7178I;N;26;26;26;27;27;27;27;27;27;27;27;27;26
7178I;Min;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;22.0
7178I;Q1;1.0;1.0;1.0;1.6;2.0;0.0;0.0;0.0;1.6;2.0;2.0;1.0;28.4
7178I;Q2;2.0;3.0;2.8;3.0;4.0;1.0;0.0;0.0;3.0;3.0;3.0;2.2;33.0
7178I;Q3;4.2;4.0;4.0;4.0;4.8;2.0;0.0;1.0;3.8;3.8;4.8;4.0;38.2
7178I;Q4;6.0;6.0;6.0;5.0;5.0;3.0;1.4;2.4;4.0;6.0;7.0;5.4;44.4
7178I;Max;12.0;10.0;8.0;10.0;10.0;9.0;3.0;5.0;7.0;9.0;9.0;11.0;59.0
7178I;Mn;3.5;3.0;3.5;3.0;4.0;1.0;0.0;0.0;3.0;3.0;4.0;3.0;34.5
7178I;Md;3.8;3.6;3.3;3.6;3.9;2.0;0.6;1.0;3.0;3.7;4.1;3.9;36.5
7178I;S;3.00;2.55;2.40;2.50;2.25;2.43;0.89;1.43;1.85;2.22;2.28;2.80;9.14
7178I;Cv;0.80;0.71;0.72;0.70;0.57;1.19;1.50;1.38;0.61;0.60;0.55;0.73;0.25
7228;N;30;30;30;30;30;30;30;30;30;30;30;30;30
7228;Min;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;21.0
7228;Q1;1.0;1.2;1.2;1.0;2.0;0.0;0.0;0.0;1.0;1.0;2.0;1.0;28.2
7228;Q2;1.4;3.0;3.0;2.0;3.4;1.0;0.0;0.0;2.0;3.0;3.0;2.0;32.4
7228;Q3;3.6;3.0;4.0;4.0;4.0;1.6;0.0;1.0;3.0;4.6;4.6;3.0;36.6
