Indicativo;parámetro;enero;febrero;marzo;abril;mayo;junio;julio;agosto;septiembre;octubre;noviembre;diciembre;anual
6000A;Cv;0.21;0.16;0.17;0.13;0.24;0.08;0.08;0.11;0.17;0.20;0.15;0.14;
7178I;N;22;19;21;23;22;19;23;25;23;24;25;19;11
7178I;Min;33.0;42.0;40.0;48.0;41.0;42.0;40.0;36.0;40.0;36.0;37.0;46.0;
7178I;Q1;47.8;50.0;47.6;52.4;47.0;47.0;43.0;43.2;45.0;43.0;50.0;50.0;
7178I;Q2;55.2;57.0;58.8;57.0;53.0;54.0;47.0;47.0;50.0;49.0;52.8;58.0;
7178I;Q3;62.0;60.0;63.0;61.8;58.8;58.0;52.4;50.2;54.0;60.0;55.0;63.0;
7178I;Q4;79.0;80.0;68.8;66.6;62.8;61.0;55.2;61.4;62.4;68.0;61.4;64.0;
7178I;Max;104.0;89.0;95.0;79.0;71.0;76.0;71.0;76.0;70.0;108.0;70.0;77.0;
7178I;Mn;59.0;58.0;60.0;60.0;55.5;57.0;51.0;49.0;52.0;55.0;54.0;59.0;
7178I;Md;62.6;62.3;60.3;60.3;55.6;56.1;50.7;51.5;53.6;57.6;54.8;59.4;
7178I;S;19.29;13.82;12.94;8.27;8.32;8.48;8.06;10.07;8.44;15.82;6.96;8.48;
7178I;Cv;0.31;0.22;0.21;0.14;0.15;0.15;0.16;0.20;0.16;0.27;0.13;0.14;
7228;N;23;24;20;22;23;21;21;26;19;25;22;22;10
7228;Min;32.0;45.0;33.0;44.0;36.0;39.0;37.0;41.0;38.0;32.0;35.0;40.0;
7228;Q1;40.6;52.0;44.0;51.4;44.8;43.0;41.4;43.8;43.0;43.4;44.2;47.8;
7228;Q2;52.0;56.0;54.0;54.0;48.6;46.0;47.6;48.8;49.0;50.8;50.0;55.6;
7228;Q3;62.0;63.0;60.4;55.8;50.4;50.4;49.2;50.8;58.0;58.6;56.8;63.8;
7228;Q4;77.0;72.0;74.4;63.8;58.2;60.2;58.0;60.2;68.0;65.0;62.4;70.8;
7228;Max;83.0;93.0;96.0;74.0;70.0;70.0;83.0;72.0;79.0;89.0;79.0;86.0;
7228;Mn;58.0;60.0;56.5;54.0;49.0;50.0;48.0;50.0;54.0;56.0;54.0;59.0;
7228;Md;59.3;62.8;58.7;56.8;51.2;51.0;51.4;52.2;54.6;55.9;53.5;59.4;
7228;S;16.37;13.37;15.93;7.61;7.61;8.82;11.60;8.23;11.46;14.22;10.64;11.78;
